#TYPE System.Management.Automation.PSCustomObject
"Tipo de Equipamento","Patrimonio","Hostname","Fabricante","Modelo","Numero de Serie","Processador","Memoria","HD","SO","Nota FIscal","Data de Compra","Observacao Equipamento","Login","Data Ultimo Login","Matricula","Solicitacao","Site","Nome do Entregador","Data da Entrega","Observacao Vinculo"
"Desktop",,"DT015215","LENOVO","IPM31","123456789","Intel(R) Core(TM)2 Duo CPU     E7500  @ 2.93GHz","3GB","298GB
","Microsoft Windows XP Professional","","","",,,"","","BV","","",""
"Desktop",,"DT016279","LENOVO","7099A5P","L1BXC7P","Intel(R) Core(TM)2 Duo CPU     E7500  @ 2.93GHz","2GB","75GB
","Microsoft Windows XP Professional","","","","BRQ\PMLIMA","01/08/2015 10:57:13","","","BV","","",""
"Desktop",,"DT015825","LENOVO","IPM31","123456789","Intel(R) Core(TM)2 Duo CPU     E7500  @ 2.93GHz","3GB","298GB
","Microsoft Windows XP Professional","","","","ADMINISTRATOR","31/07/2015 14:40:27","","","BV","","",""
"Notebook",,"NB017852E","LENOVO","3254E4P","R7003YX","Intel(R) Core(TM) i3-2330M CPU @ 2.20GHz","4GB","465GB
","Microsoft Windows 7 Professional ","","","","BRQ\julianalara","01/08/2015 12:29:19","","","BV","","",""
"Notebook",,"NB017287","LENOVO","0913                            ","3100297202860","Intel(R) Core(TM) i3 CPU       M 370  @ 2.40GHz","4GB","297GB
","Microsoft Windows 7 Professional ","","","","BRQ\lgrecco","01/08/2015 12:18:11","","","BV","","",""
"Notebook",,"NB022109","LENOVO","3254H4P","R700A2H","Intel(R) Core(TM) i3-2328M CPU @ 2.20GHz","4GB","465GB
","Microsoft Windows 7 Professional ","","","","BRQ\pdomingues","01/08/2015 12:27:25","","","BV","","",""
"Notebook",,"NB022011","LENOVO","3254H4P","R700C7B","Intel(R) Core(TM) i3-2328M CPU @ 2.20GHz","4GB","465GB
","Microsoft Windows 7 Professional ","","","","BRQ\bpalaria","01/08/2015 11:26:51","","","BV","","",""
"Desktop",,"DT00938","Intel Corp.","D945GCR_","                                ","Intel(R) Pentium(R) Dual  CPU  E2140  @ 1.60GHz","2GB","75GB
","Microsoft Windows XP Professional","","","","ADMINISTRATOR","31/07/2015 13:54:40","","","BV","","",""
"Desktop",,"DT018398","Hewlett-Packard","HP Compaq 6200 Pro MT PC","BRG142FNS8","Intel Pentium III Xeon processor","2GB","466GB
","Microsoft Windows XP Professional","","","","BRQ\WILLIANSILVA","10/07/2014 14:15:23","","","BV","","",""
"Desktop",,"DT014410","LENOVO","7848","l1bpb0t","Intel(R) Core(TM)2 Duo CPU     E7500  @ 2.93GHz","2GB","298GB
","Microsoft Windows XP Professional","","","","BRQ\EKUNIZAWA","01/08/2015 12:37:46","","","BV","","",""
"Desktop",,"DT014409","LENOVO","7848","l1bpb2h","Intel(R) Core(TM)2 Duo CPU     E7500  @ 2.93GHz","2GB","298GB
","Microsoft Windows XP Professional","","","",,,"","","BV","","",""
"Notebook",,"NB022018","LENOVO","3254H4P","R700C37","Intel(R) Core(TM) i3-2328M CPU @ 2.20GHz","4GB","465GB
","Microsoft Windows 7 Professional ","","","","BRQ\lpessini","01/08/2015 12:36:54","","","BV","","",""
"Desktop",,"DT013136","LENOVO","7848","l1bp9vk","Intel Pentium III Xeon processor","2GB","298GB
","Microsoft Windows XP Professional","","","","BRQ\PEDRODEROSSI","01/08/2015 12:39:37","","","BV","","",""
"Desktop",,"DT014401","LENOVO","IPM31","123456789","Intel(R) Core(TM)2 Duo CPU     E7500  @ 2.93GHz","2GB","298GB
","Microsoft Windows 7 Professional ","","","",,,"","","BV","","",""
