#TYPE System.Management.Automation.PSCustomObject
"Tipo de Equipamento","Patrimonio","Hostname","Fabricante","Modelo","Numero de Serie","Processador","Memoria","HD","SO","Nota FIscal","Data de Compra","Observacao Equipamento","Login","Data Ultimo Login","Matricula","Solicitacao","Site","Nome do Entregador","Data da Entrega","Observacao Vinculo"
"Notebook","016741E","NBMA016741E","LENOVO","3254E4P","R70018Z","Intel(R) Core(TM) i3-2330M CPU @ 2.20GHz","4GB","465GB
","Microsoft Windows 7 Professional ","","","","BRQ\scavalli","31/07/2015 10:50:15","","","MAL","","",""
"Desktop","024302","DTMA024302","LENOVO","3569Q6P","PEA3295","Intel(R) Core(TM) i3-3220 CPU @ 3.30GHz","4GB","465GB
","Microsoft Windows 7 Professional ","","","","BRQ\costen","31/07/2015 10:52:11","","","MAL","","",""
"Desktop","017420","DTMA017420","LENOVO","3569Q6P","PEP1982","Intel(R) Core(TM) i3-3220 CPU @ 3.30GHz","4GB","465GB
","Microsoft Windows 7 Professional ","","","","BRQ\arrosario","31/07/2015 10:51:13","","","MAL","","",""
"Desktop","023594","DTMA023594","LENOVO","3569Q6P","PEP2151","Intel(R) Core(TM) i3-3220 CPU @ 3.30GHz","4GB","466GB
","Microsoft Windows 7 Professional ","","","","BRQ\niltonmoraes","31/07/2015 10:52:36","","","MAL","","",""
"Desktop","024237","DTMA024237","LENOVO","3569Q6P","PEP1967","Intel(R) Core(TM) i3-3220 CPU @ 3.30GHz","4GB","465GB
","Microsoft Windows 7 Professional ","","","",,,"","","MAL","","",""
"Desktop","024301","DTMA024301","LENOVO","3569Q6P","PEA3507","Intel(R) Core(TM) i3-3220 CPU @ 3.30GHz","4GB","465GB
932GB
","Microsoft Windows 7 Professional ","","","","BRQ\edipooliveira","31/07/2015 10:52:56","","","MAL","","",""
"Desktop","024297","DTMA024297","LENOVO","3569Q6P","PEA3585","Intel(R) Core(TM) i3-3220 CPU @ 3.30GHz","6GB","319GB
146GB
","Microsoft Windows 7 Professional ","","","",,,"","","MAL","","",""
"Desktop","024290","DTMA024290","LENOVO","3569Q6P","PEA3300","Processador Intel Pentium III Xeon","4GB","466GB
","Microsoft Windows XP Professional","","","",,,"","","MAL","","",""
"Desktop","024128","DTMA024128","LENOVO","3569Q6P","PEP2256","Intel(R) Core(TM) i3-3220 CPU @ 3.30GHz","4GB","465GB
","Microsoft Windows 7 Professional ","","","","BRQ\kpetrelli","22/07/2015 16:00:51","","","MAL","","",""
"Desktop","024121","DTMA024121","LENOVO","3569Q6P","PEP1975","Intel(R) Core(TM) i3-3220 CPU @ 3.30GHz","4GB","466GB
","Microsoft Windows 7 Professional ","","","","BRQ\luizheming","31/07/2015 10:52:26","","","MAL","","",""
"Desktop","024210","DTMA024210","LENOVO","3569Q6P","PEP2268","Intel(R) Core(TM) i3-3220 CPU @ 3.30GHz","6GB","466GB
","Microsoft Windows 7 Professional ","","","","BRQ\ricardojose","31/07/2015 10:51:45","","","MAL","","",""
"Desktop","024112","DTMA024112","LENOVO","3569Q6P","PEP1911","Intel(R) Core(TM) i3-3220 CPU @ 3.30GHz","6GB","465GB
","Microsoft Windows 7 Professional ","","","","BRQ\mauriciorosa","31/07/2015 10:58:10","","","MAL","","",""
"Desktop","023966","DTMA023966","LENOVO","3569Q6P","PEP1968","Intel(R) Core(TM) i3-3220 CPU @ 3.30GHz","4GB","465GB
","Microsoft Windows 7 Professional ","","","","BRQ\services","07/02/2015 16:17:29","","","MAL","","",""
"Desktop","024334","DTMA024334","LENOVO","3569Q6P","PEA3530","Intel(R) Core(TM) i3-3220 CPU @ 3.30GHz","4GB","465GB
","Microsoft Windows 7 Professional ","","","","BRQ\hoelitonbevervanco","31/07/2015 11:00:29","","","MAL","","",""
"Desktop","024282","DTMA024282","LENOVO","3569Q6P","PEA3302","Intel(R) Core(TM) i3-3220 CPU @ 3.30GHz","4GB","466GB
","Microsoft Windows 7 Professional ","","","","BRQ\wpcorrea","31/07/2015 11:00:27","","","MAL","","",""
"Desktop","024289","DTMA024289","LENOVO","3569Q6P","PEA3564","Processador Intel Pentium III Xeon","4GB","466GB
","Microsoft Windows XP Professional","","","",,,"","","MAL","","",""
"Desktop","024255","DTMA024255","LENOVO","3569Q6P","PEA3409","Intel(R) Core(TM) i3-3220 CPU @ 3.30GHz","4GB","465GB
","Microsoft Windows 7 Professional ","","","","BRQ\hmgomes","31/07/2015 10:13:30","","","MAL","","",""
"Desktop","024494","DTMA024494","LENOVO","3569Q6P","PEV1217","Intel(R) Core(TM) i3-3220 CPU @ 3.30GHz","6GB","465GB
","Microsoft Windows 7 Professional ","","","","BRQ\czeysypataro","31/07/2015 11:02:05","","","MAL","","",""
"Desktop","024296","DTMA024296","LENOVO","3569Q6P","PEA3528","Intel(R) Core(TM) i3-3220 CPU @ 3.30GHz","4GB","465GB
","Microsoft Windows 7 Professional ","","","","BRQ\naujalis","28/07/2015 16:37:02","","","MAL","","",""
"Desktop","023994","DTMA023994","LENOVO","3569Q6P","PEA3390","Intel(R) Core(TM) i3-3220 CPU @ 3.30GHz","4GB","465GB
","Microsoft Windows 7 Professional ","","","",,,"","","MAL","","",""
"Desktop","024160","DTMA024160","LENOVO","3569Q6P","PEA3572","Intel(R) Core(TM) i3-3220 CPU @ 3.30GHz","4GB","298GB
","Microsoft Windows 7 Professional ","","","","BRQ\guilhermegoncalves","31/07/2015 11:03:43","","","MAL","","",""
"Notebook","016733E","NBMA016733E","LENOVO","3254E4P","R70018T","Intel(R) Core(TM) i3-2330M CPU @ 2.20GHz","4GB","465GB
","Microsoft Windows 7 Professional ","","","","BRQ\cgcamargo","31/07/2015 11:04:47","","","MAL","","",""
"Desktop","024189","DTMA024189","LENOVO","3569Q6P","PEA3560","Intel(R) Core(TM) i3-3220 CPU @ 3.30GHz","4GB","465GB
","Microsoft Windows 7 Professional ","","","","BRQ\fabiocurial","31/07/2015 11:05:06","","","MAL","","",""
"Desktop","024258","DTMA024258","LENOVO","3569Q6P","PEA3463","Intel(R) Core(TM) i3-3220 CPU @ 3.30GHz","4GB","465GB
","Microsoft Windows 7 Professional ","","","","BRQ\rodrigococci","23/04/2015 10:23:40","","","MAL","","",""
"Desktop","024185","DTMA024185","LENOVO","3569Q6P","PEA3578","Intel(R) Core(TM) i3-3220 CPU @ 3.30GHz","4GB","465GB
","Microsoft Windows 7 Professional ","","","","BRQ\mmorgado","04/05/2015 10:44:57","","","MAL","","",""
