#TYPE System.Management.Automation.PSCustomObject
"Tipo de Equipamento","Patrimonio","Hostname","Fabricante","Modelo","Numero de Serie","Processador","Memoria","HD","SO","Nota FIscal","Data de Compra","Observacao Equipamento","Login","Data Ultimo Login","Matricula","Solicitacao","Site","Nome do Entregador","Data da Entrega","Observacao Vinculo"
"Desktop",,"DTRJ008143","LENOVO","9481AW9","L1AM1PN","Intel(R) Core(TM)2 Duo CPU     E8400  @ 3.00GHz","4GB","149GB
","Microsoft Windows 7 Professional ","","","","BRQ\rodolphomelo","06/08/2015 18:43:14","","","TEO","","",""
"Desktop",,"DTRJ020756","LENOVO","7567S4P","L1CA280","Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz","6GB","466GB
","Microsoft Windows 7 Professional ","","","","BRQ\julianopereira","06/08/2015 18:56:21","","","TEO","","",""
"Desktop",,"DTRJ015854","LENOVO","IPM31","123456789","Intel(R) Core(TM)2 Duo CPU     E7500  @ 2.93GHz","3GB","298GB
","Microsoft Windows 7 Professional ","","","","BRQ\evertongoncalves","06/08/2015 18:24:22","","","TEO","","",""
"Desktop",,"DTRJ017802E","LENOVO","3569A8P","L1CBBHC","Intel(R) Core(TM) i3-2120 CPU @ 3.30GHz","4GB","466GB
","Microsoft Windows 7 Professional ","","","","BRQ\izabel","06/08/2015 18:59:08","","","TEO","","",""
"Desktop",,"DTRJ017810E","LENOVO","3569A8P","L1CBG3T","Intel(R) Core(TM) i3-2120 CPU @ 3.30GHz","6GB","466GB
","Microsoft Windows 7 Professional ","","","","BRQ\gleice","06/08/2015 18:42:09","","","TEO","","",""
"Desktop",,"DTRJ017808","LENOVO","5474G4P","L1BZGC7","Intel(R) Core(TM) i3 CPU         550  @ 3.20GHz","4GB","298GB
","Microsoft Windows 7 Professional ","","","","BRQ\fafernandes","06/08/2015 18:54:30","","","TEO","","",""
"Desktop",,"DTRJ015886","LENOVO","IPM31","123456789","Intel(R) Core(TM)2 Duo CPU     E7500  @ 2.93GHz","3GB","298GB
","Microsoft Windows XP Professional","","","","BRQ\VINICIUSSANTOS","06/08/2015 17:53:15","","","TEO","","",""
"Desktop",,"DT020758","LENOVO","7567S4P","L1CA22X","Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz","6GB","466GB
","Microsoft Windows 7 Professional ","","","","BRQ\eduardosilva","06/08/2015 19:01:26","","","TEO","","",""
"Desktop",,"DT008126","LENOVO","9481AW9","L1AM1XG","Intel(R) Core(TM)2 Duo CPU     E8400  @ 3.00GHz","4GB","149GB
","Microsoft Windows XP Professional","","","","BRQ\MARCUSNOGUEIRA","06/08/2015 18:52:53","","","TEO","","",""
"Desktop",,"DTRJ008152","LENOVO","9481AW9","L1AM1VL","Intel(R) Core(TM)2 Duo CPU     E8400  @ 3.00GHz","4GB","149GB
","Microsoft Windows 7 Professional ","","","","BRQ\natanoliveira","06/08/2015 18:57:17","","","TEO","","",""
"Desktop",,"DTRJ016779","LENOVO","7099A5P","L1BWWH5","Intel(R) Core(TM)2 Duo CPU     E7500  @ 2.93GHz","4GB","298GB
149GB
","Microsoft Windows 7 Professional ","","","","BRQ\mmonteiro","06/08/2015 18:35:41","","","TEO","","",""
"Desktop",,"DTRJ024497","LENOVO","2124AAP","PE69226","Intel(R) Core(TM) i3-3220 CPU @ 3.30GHz","6GB","466GB
","Microsoft Windows 7 Professional ","","","","BRQ\pmariano","06/08/2015 18:24:07","","","TEO","","",""
"Desktop",,"DTRJ016756","LENOVO","7099A5P","L1BWWX4","Intel(R) Core(TM)2 Duo CPU     E7500  @ 2.93GHz","4GB","298GB
","Microsoft Windows 7 Professional ","","","","BRQ\marcosgribel","06/08/2015 18:55:19","","","TEO","","",""
"Desktop",,"DTRJ015867","LENOVO","7848","l1bp1c5","Intel(R) Core(TM)2 Duo CPU     E7500  @ 2.93GHz","3GB","298GB
","Microsoft Windows 7 Professional ","","","","BRQ\lucianahenriques","06/08/2015 18:54:39","","","TEO","","",""
"Desktop",,"DTRJ012773","LENOVO","7848d1p","l1bmb41","Intel(R) Core(TM)2 Duo CPU     E7500  @ 2.93GHz","3GB","149GB
","Microsoft Windows 7 Professional ","","","","BRQ\lvieira","06/08/2015 18:48:41","","","TEO","","",""
"Desktop",,"DTRJ016755","LENOVO","7099A5P","L1BWW8H","Intel(R) Core(TM)2 Duo CPU     E7500  @ 2.93GHz","4GB","149GB
","Microsoft Windows 7 Professional ","","","","BRQ\felipebrum","06/08/2015 18:37:40","","","TEO","","",""
"Desktop",,"DTRJ025888","LENOVO","10BD008GBP","PE01GHP6","Intel(R) Core(TM) i5-4570S CPU @ 2.90GHz","8GB","466GB
","Microsoft Windows 7 Professional ","","","","BRQ\alanconceicao","06/08/2015 18:43:12","","","TEO","","",""
"Desktop",,"DT015872","LENOVO","7848","l1bp9rc","Intel Pentium III Xeon processor","3GB","298GB
","Microsoft Windows XP Professional","","","","BRQ\DB2ADMIN","06/08/2015 10:24:30","","","TEO","","",""
"Desktop",,"DTRJ024479","LENOVO","2124AAP","PEA2471","Intel(R) Core(TM) i3-3220 CPU @ 3.30GHz","8GB","465GB
","Microsoft Windows 7 Professional ","","","","BRQ\meryreis","06/08/2015 18:30:10","","","TEO","","",""
