10.2.12.10;"Spark 2.7.0.671";"";"2.7";"2.7.0.671";"Ignite Realtime"
10.2.12.10;"Adobe AIR";"";"18.0";"18.0.0.144";"Adobe Systems Incorporated"
10.2.12.10;"Adobe Flash Player 18 ActiveX";"";"18.0";"18.0.0.232";"Adobe Systems Incorporated"
10.2.12.10;"astah* community 6.5.1";"20150331";"";"";"Change Vision, Inc."
10.2.12.10;"Citrix Receiver";"";"14.1";"14.1.0.0";"Citrix Systems, Inc."
10.2.12.10;"Foxit Reader 5.1";"20140605";"";"5.1.4.104";"Foxit Corporation"
10.2.12.10;"Google Chrome";"20121129";"2403.155";"44.0.2403.155";"Google Inc."
10.2.12.10;"BizAgi Process Modeler";"20140605";"1.4";"1.4.0.0";"Nome de sua empresa:"
10.2.12.10;"iReport 5.5.0";"";"";"5.5.0";"Jaspersoft Corp."
10.2.12.10;"Malwarebytes Anti-Malware versão 2.0.4.1028";"20150324";"";"2.0.4.1028";"Malwarebytes Corporation"
10.2.12.10;"Microsoft Azure Storage Emulator - v4.0";"11/06/2015";"4.0";"4.0.6891.3";"Microsoft Corporation"
10.2.12.10;"Microsoft Help Viewer 2.0";"";"";"2.0.50727";"Microsoft Corporation"
10.2.12.10;"Microsoft Help Viewer 2.1";"";"";"2.1.21005";"Microsoft Corporation"
10.2.12.10;"Microsoft Help Viewer 2.2";"";"";"2.2.22823";"Microsoft Corporation"
10.2.12.10;"Mozilla Firefox 39.0.3 (x86 pt-BR)";"";"";"39.0.3";"Mozilla"
10.2.12.10;"Mozilla Maintenance Service";"";"";"36.0";"Mozilla"
10.2.12.10;"Notepad++";"";"";"6.7.8.1";"Notepad++ Team"
10.2.12.10;"Pacote de Idiomas do Visualizador de Ajuda Microsoft 2.0 - PTB";"";"";"2.0.50727";"Microsoft Corporation"
10.2.12.10;"Pacote de Idiomas do Visualizador de Ajuda Microsoft 2.1 - PTB";"";"";"2.1.21005";"Microsoft Corporation"
10.2.12.10;"PASSPORT 32-bit (Standard Installation)";"";"";"";""
10.2.12.10;"Revo Uninstaller 1.93";"";"";"1.93";"VS Revo Group"
10.2.12.10;"SHAREit";"20141120";"";"2.1.4.0";"Lenovo Group Limited"
10.2.12.10;"Windows Live Essentials";"";"";"14.0.8117.0416";"Microsoft Corporation"
10.2.12.10;"Arquivo do WinRAR";"";"";"";""
10.2.12.10;"PDFCreator";"20140605";"";"1.7.1";"pdfforge"
10.2.12.10;"Preparação do Microsoft Visual Studio 2013";"20150611";"12.0";"12.0.21005";"Microsoft Corporation"
10.2.12.10;"Citrix Receiver(Aero)";"20150201";"14.1";"14.1.0.0";"Citrix Systems, Inc."
10.2.12.10;"Microsoft Visual Studio Community 2015 RC";"20150611";"14.0";"14.0.22823";"Microsoft Corporation"
10.2.12.10;"Visual C++ Compiler/Tools X86 X64 Cross Package";"20150611";"14.0";"14.0.22816";"Microsoft Corporation"
10.2.12.10;"Windows Espc Resource Package";"20150611";"14.0";"14.0.22823";"Microsoft Corporation"
10.2.12.10;"Pacote de Idiomas do Microsoft Visual Studio Express 2013 para Web - PTB";"";"";"12.0.21005.13";"Microsoft Corporation"
10.2.12.10;"Microsoft Help Viewer 2.1";"20150611";"2.1";"2.1.21005";"Microsoft Corporation"
10.2.12.10;"Microsoft ASP.NET MVC 4 - Visual Studio Express 2013 for Web - PTB";"20150611";"4.1";"4.1.21001.0";"Microsoft Corporation"
10.2.12.10;"Pacote de Idiomas do Visualizador de Ajuda Microsoft 2.1 - PTB";"20150611";"2.1";"2.1.21005";"Microsoft Corporation"
10.2.12.10;"Microsoft SQL Server 2012 T-SQL Language Service ";"20150611";"11.1";"11.1.3000.0";"Microsoft Corporation"
10.2.12.10;"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501";"";"";"12.0.30501.0";"Microsoft Corporation"
10.2.12.10;"Microsoft Help Viewer 2.2";"20150611";"2.2";"2.2.22823";"Microsoft Corporation"
10.2.12.10;"Microsoft Visual C++ 2012 Microsoft Foundation Class Libraries";"20150611";"11.0";"11.0.60610";"Microsoft Corporation"
10.2.12.10;"Windows Runtime Intellisense Content - en-us";"20150611";"8.100";"8.100.25984";"Microsoft Corporation"
10.2.12.10;"Visual C++ IDE Desktop Plus Package";"20150611";"14.0";"14.0.22823";"Microsoft Corporation"
10.2.12.10;"Microsoft System CLR Types for SQL Server 2012";"20150611";"11.1";"11.1.3366.16";"Microsoft Corporation"
10.2.12.10;"Microsoft Azure Mobile App SDK V2.0";"20150611";"2.0";"2.0.30320.0";"Microsoft Corporation"
10.2.12.10;"Visual C++ Professional Templates Package";"20150611";"14.0";"14.0.22823";"Microsoft Corporation"
10.2.12.10;"Microsoft Visual Studio 2013 Preparation";"20150611";"12.0";"12.0.21005";"Microsoft Corporation"
10.2.12.10;"Visual C++ Compiler/Tools Premium X64 ARM Cross Package";"20150611";"14.0";"14.0.22816";"Microsoft Corporation"
10.2.12.10;"Visual C++ Library PGO X64 Package";"20150611";"14.0";"14.0.22816";"Microsoft Corporation"
10.2.12.10;"Microsoft Visual C++ 2012 x86-x64 Compilers";"20150611";"11.0";"11.0.61030";"Microsoft Corporation"
10.2.12.10;"WCF Data Services 5.0 (for OData v3) Primary Components";"20150610";"5.0";"5.0.50628.0";"Microsoft Corporation"
10.2.12.10;"Visual C++ Compiler/Tools Premium X64 Base Resource Package";"20150611";"14.0";"14.0.22816";"Microsoft Corporation"
10.2.12.10;"Blend for Visual Studio SDK for Silverlight 5";"20150611";"3.0";"3.0.40218.0";"Microsoft Corporation"
10.2.12.10;"Visual C++ Library CRT Redist Resource Package";"20150611";"14.0";"14.0.22816";"Microsoft Corporation"
10.2.12.10;"Universal CRT Tools x86";"20150611";"10.0";"10.0.10056";"Microsoft Corporation"
10.2.12.10;"Microsoft ASP.NET Web Pages 2 - Visual Studio Express 2012 for Web - PTB";"20150611";"4.1";"4.1.20219.0";"Microsoft Corporation"
10.2.12.10;"Citrix Receiver(USB)";"20150201";"14.1";"14.1.0.0";"Citrix Systems, Inc."
10.2.12.10;"TypeScript Tools for Microsoft Visual Studio 2013";"20150611";"1.0";"1.0.5.0";"Microsoft Corporation"
10.2.12.10;"Windows Live Essentials";"20121129";"14.0";"14.0.8117.416";"Microsoft Corporation"
10.2.12.10;"Microsoft Azure Shared Components for Visual Studio 2012 - v1.4";"20150611";"1.4";"1.4.30416.1601";"Microsoft Corporation"
10.2.12.10;"Roslyn Language Services - x86";"20150611";"14.0";"14.0.22823";"Microsoft Corporation"
10.2.12.10;"Visual C++ Compiler/Tools Premium X86 Native Resource Package";"20150611";"14.0";"14.0.22816";"Microsoft Corporation"
10.2.12.10;"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005";"20150325";"12.0";"12.0.21005";"Microsoft Corporation"
10.2.12.10;"Team Explorer for Microsoft Visual Studio 2015 RC";"20150611";"14.0";"14.0.22821";"Microsoft Corporation"
10.2.12.10;"WCF Data Services Tools for Microsoft Visual Studio 2012";"20150610";"5.0";"5.0.50710.0";"Microsoft Corporation"
10.2.12.10;"Visual C++ Compiler/Tools X64 ARM Cross Package";"20150611";"14.0";"14.0.22816";"Microsoft Corporation"
