10.2.13.62;"Adobe Flash Player 18 ActiveX";"";"18.0";"18.0.0.232";"Adobe Systems Incorporated"
10.2.13.62;"Google Chrome";"20150807";"2403.155";"44.0.2403.155";"Google Inc."
10.2.13.62;"Microsoft Office Standard 2010";"";"";"14.0.6029.1000";"Microsoft Corporation"
10.2.13.62;"Google Toolbar for Internet Explorer";"20150807";"1.0";"1.0.0";"Google Inc."
10.2.13.62;"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148";"20150805";"9.0";"9.0.30729.4148";"Microsoft Corporation"
10.2.13.62;"Google Toolbar for Internet Explorer";"";"";"7.5.6710.2136";"Google Inc."
10.2.13.62;"Intel(R) USB 3.0 eXtensible Host Controller Driver";"";"1.0";"1.0.4.225";"Intel Corporation"
10.2.13.62;"Lenovo System Update";"20150804";"5.7";"5.07.0003";"Lenovo"
10.2.13.62;"Cisco LEAP Module";"20150804";"1.0";"1.0.19";"Cisco Systems, Inc."
10.2.13.62;"Google Update Helper";"20150807";"1.3";"1.3.28.1";"Google Inc."
10.2.13.62;"Cisco EAP-FAST Module";"20150804";"2.2";"2.2.14";"Cisco Systems, Inc."
10.2.13.62;"Realtek Ethernet Controller Driver";"20150804";"";"7.72.410.2013";"Realtek"
10.2.13.62;"Microsoft Silverlight";"20150805";"5.1";"5.1.10411.0";"Microsoft Corporation"
10.2.13.62;"Microsoft Office Standard 2010";"20150812";"14.0";"14.0.6029.1000";"Microsoft Corporation"
10.2.13.62;"Microsoft Office 2010 Service Pack 1 (SP1)";"";"";"";"Microsoft"
10.2.13.62;"Microsoft Office Excel MUI (Portuguese (Brazil)) 2010";"20150812";"14.0";"14.0.6029.1000";"Microsoft Corporation"
10.2.13.62;"Microsoft Office 2010 Service Pack 1 (SP1)";"";"";"";"Microsoft"
10.2.13.62;"Microsoft Office PowerPoint MUI (Portuguese (Brazil)) 2010";"20150812";"14.0";"14.0.6029.1000";"Microsoft Corporation"
10.2.13.62;"Microsoft Office 2010 Service Pack 1 (SP1)";"";"";"";"Microsoft"
10.2.13.62;"Microsoft Office Publisher MUI (Portuguese (Brazil)) 2010";"20150812";"14.0";"14.0.6029.1000";"Microsoft Corporation"
10.2.13.62;"Microsoft Office 2010 Service Pack 1 (SP1)";"";"";"";"Microsoft"
10.2.13.62;"Microsoft Office Outlook MUI (Portuguese (Brazil)) 2010";"20150812";"14.0";"14.0.6029.1000";"Microsoft Corporation"
10.2.13.62;"Microsoft Office 2010 Service Pack 1 (SP1)";"";"";"";"Microsoft"
10.2.13.62;"Microsoft Office Word MUI (Portuguese (Brazil)) 2010";"20150812";"14.0";"14.0.6029.1000";"Microsoft Corporation"
10.2.13.62;"Microsoft Office 2010 Service Pack 1 (SP1)";"";"";"";"Microsoft"
