10.2.43.239;"A1 Sitemap Generator";"20110927";"";"3.2.9";"Microsys"
10.2.43.239;"Adobe Flash Player 11 ActiveX";"";"11.0";"11.0.1.152";"Adobe Systems Incorporated"
10.2.43.239;"Apache Tomcat 5.5 (remove only)";"";"";"";""
10.2.43.239;"CVSNT";"";"";"2.0.51";"CVSNT"
10.2.43.239;"WinCvs 2.0";"";"";"";"CvsGui"
10.2.43.239;"Receitanet";"20150428";"";"1.07";"Serpro - Serviço Federal de Processamento de Dados"
10.2.43.239;"EXTRA! for SNA Server 32-bit";"";"";"";""
10.2.43.239;"Intel(R) Graphics Media Accelerator Driver";"";"";"";""
10.2.43.239;"Windows Internet Explorer 8";"20120702";"";"20090308.140743";"Microsoft Corporation"
10.2.43.239;"PC Auto Backup";"20141210";"1.1";"1.1.1.21";"Samsung Electronics Co,. Ltd."
10.2.43.239;"SAMSUNG Intelli-studio";"";"";"";""
10.2.43.239;"IRPF2015 - Declaração de Ajuste Anual, Final de Espólio e Saída Definitiva do País";"20150428";"";"1.2";"Receita Federal do Brasil"
10.2.43.239;"Java Runtime 1.5.0_09 for Borland COM APIs";"";"";"";""
10.2.43.239;"Java Runtime 1.6.0_13 for Borland COM APIs";"";"";"";""
10.2.43.239;"Atualização de Segurança para Windows XP (KB2079403)";"20101125";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2115168)";"20101125";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2121546)";"20101125";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização para Windows XP (KB2141007)";"20101217";"";"1";"Microsoft Corporation"
10.2.43.239;"Hotfix para Windows XP (KB2158563)";"20101125";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2229593)";"20101125";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2259922)";"20101125";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2279986)";"20101125";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2286198)";"20101125";"";"1";"Microsoft Corporation"
