10.2.68.210;"Shared Add-in Extensibility Update for Microsoft .NET Framework 2.0 (KB908002)";"20140226";"1.0";"1.0.0";"Microsoft"
10.2.68.210;"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005";"20150427";"12.0";"12.0.21005";"Microsoft Corporation"
10.2.68.210;"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148";"20150223";"9.0";"9.0.30729.4148";"Microsoft Corporation"
10.2.68.210;"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.21005";"";"";"12.0.21005.1";"Microsoft Corporation"
10.2.68.210;"Security Update for Microsoft .NET Framework 4.5.2 (KB2972107)";"";"";"1";"Microsoft Corporation"
10.2.68.210;"Security Update for Microsoft .NET Framework 4.5.2 (KB2972216)";"";"";"1";"Microsoft Corporation"
10.2.68.210;"Security Update for Microsoft .NET Framework 4.5.2 (KB2979578v2)";"";"";"2";"Microsoft Corporation"
10.2.68.210;"Security Update for Microsoft .NET Framework 4.5.2 (KB3023224)";"";"";"1";"Microsoft Corporation"
10.2.68.210;"Security Update for Microsoft .NET Framework 4.5.2 (KB3035490)";"";"";"1";"Microsoft Corporation"
10.2.68.210;"Security Update for Microsoft .NET Framework 4.5.2 (KB3037581)";"";"";"1";"Microsoft Corporation"
10.2.68.210;"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"20150813";"9.0";"9.0.30729.6161";"Microsoft Corporation"
10.2.68.210;"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.21005";"";"";"12.0.21005.1";"Microsoft Corporation"
10.2.68.210;"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005";"20150427";"12.0";"12.0.21005";"Microsoft Corporation"
10.2.68.210;"Microsoft .NET Framework 4.5.2 (PTB)";"20150424";"4.5";"4.5.51209";"Microsoft Corporation"
10.2.68.210;"Microsoft .NET Framework 4.5.2";"20150723";"4.5";"4.5.51209";"Microsoft Corporation"
10.2.68.210;"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148";"20150223";"9.0";"9.0.30729.4148";"Microsoft Corporation"
10.2.68.210;"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"20150813";"9.0";"9.0.30729.6161";"Microsoft Corporation"
10.2.68.210;"Microsoft Silverlight";"20150813";"5.1";"5.1.40728.0";"Microsoft Corporation"
10.2.68.210;"Microsoft Policy Platform";"20140616";"1.2";"1.2.3602.0";"Microsoft Corporation"
10.2.68.210;"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005";"20150427";"12.0";"12.0.21005";"Microsoft Corporation"
10.2.68.210;"Microsoft .NET Framework 4.5.2";"";"";"4.5.51209";"Microsoft Corporation"
10.2.68.210;"Microsoft .NET Framework 4.5.2 (Português do Brasil)";"";"";"4.5.51209";"Microsoft Corporation"
10.2.68.210;"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005";"20150427";"12.0";"12.0.21005";"Microsoft Corporation"
10.2.68.210;"Microsoft Visual C++ 2005 Redistributable (x64)";"20150223";"8.0";"8.0.61000";"Microsoft Corporation"
10.2.68.210;"Configuration Manager Client";"20150810";"5.0";"5.00.7804.1000";"Microsoft Corporation"
10.2.68.210;"Microsoft Windows 7 Professional ";"20150209112640.000000-120";"6.1.7601";"6.1.7601";"Microsoft Corporation"
