10.2.100.66;"soapUI 4.5.1 4.5.1";"";"4.5";"4.5.1";"SmartBear Software"
10.2.100.66;"Adobe AIR";"";"3.1";"3.1.0.4880";"Adobe Systems Incorporated"
10.2.100.66;"Adobe Flash Player 18 ActiveX";"";"18.0";"18.0.0.232";"Adobe Systems Incorporated"
10.2.100.66;"Adobe Flash Player 18 NPAPI";"";"18.0";"18.0.0.232";"Adobe Systems Incorporated"
10.2.100.66;"Adobe Shockwave Player 11.6";"";"11.1";"11.6.5.635";"Adobe Systems, Inc."
10.2.100.66;"astah* community 6.4.1";"20120604";"";"";"Change Vision, Inc."
10.2.100.66;"CCleaner";"20130423";"4.1";"4.01";"Piriform"
10.2.100.66;"Citrix Receiver";"";"14.1";"14.1.0.0";"Citrix Systems, Inc."
10.2.100.66;"CutePDF Writer 3.0";"";"";" 3.0";"Acro Software Inc."
10.2.100.66;"Receitanet";"20150306";"";"1.04";"Serpro - Serviço Federal de Processamento de Dados"
10.2.100.66;"Intel(R) Graphics Media Accelerator Driver";"";"6.14";"6.14.10.5186";"Intel Corporation"
10.2.100.66;"HP Screen Recorder";"";"";"";"Hewlett-Packard Development Company, L.P."
10.2.100.66;"Microsoft Internationalized Domain Names Mitigation APIs";"20110709";"";"";"Microsoft Corporation"
10.2.100.66;"Windows Internet Explorer 8";"20130924";"";"20090308.140743";"Microsoft Corporation"
10.2.100.66;"IBM HTTP Server 6.0.2";"";"";"";""
10.2.100.66;"Mercury Quality Center SystemTest Agent";"20120314";"9.1";"9.01.007";"Mercury Interactive"
10.2.100.66;"IRPF2012 - Declaração de Ajuste Anual, Final de Espólio e Saída Definitiva do País";"20120430";"";"1.0";"Receita Federal do Brasil"
10.2.100.66;"IRPF2013 - Declaração de Ajuste Anual, Final de Espólio e Saída Definitiva do País";"20130301";"";"1.0";"Receita Federal do Brasil"
10.2.100.66;"IRPF2014 - Declaração de Ajuste Anual, Final de Espólio e Saída Definitiva do País";"20140307";"";"1.0";"Receita Federal do Brasil"
10.2.100.66;"IRPF2015 - Declaração de Ajuste Anual, Final de Espólio e Saída Definitiva do País";"20150306";"";"1.0";"Receita Federal do Brasil"
10.2.100.66;"Security Update for Windows XP (KB2079403)";"20110709";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2115168)";"20110709";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2121546)";"20110709";"";"1";"Microsoft Corporation"
10.2.100.66;"Hotfix for Windows XP (KB2158563)";"20110709";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2229593)";"20110709";"";"1";"Microsoft Corporation"
10.2.100.66;"Update for Windows XP (KB2264107)";"20150723";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2296011)";"20110709";"";"1";"Microsoft Corporation"
10.2.100.66;"Update for Windows XP (KB2345886)";"20110709";"";"1";"Microsoft Corporation"
