10.2.67.80;"Adobe Flash Player 11 Plugin";"";"11.7";"11.7.700.202";"Adobe Systems Incorporated"
10.2.67.80;"BitTorrent Sync";"";"";"2.0.124";"BitTorrent Inc."
10.2.67.80;"Citrix Receiver";"";"14.1";"14.1.0.0";"Citrix Systems, Inc."
10.2.67.80;"Google Chrome";"20111212";"2403.155";"44.0.2403.155";"Google Inc."
10.2.67.80;"IBM Installation Manager";"";"";"";""
10.2.67.80;"IBM Software Development Platform";"";"";"";""
10.2.67.80;"Microsoft Report Viewer Redistributable 2008 SP1";"";"";"";"Microsoft Corporation"
10.2.67.80;"Microsoft Office Standard 2010";"";"";"14.0.7015.1000";"Microsoft Corporation"
10.2.67.80;"Microsoft Web Publishing Wizard 1.53";"";"";"";""
10.2.67.80;"Windows Live Essentials";"";"";"14.0.8117.0416";"Microsoft Corporation"
10.2.67.80;"tools-freebsd";"20140625";"9.6";"9.6.1.1379776";"VMware, Inc."
10.2.67.80;"Citrix Receiver(Aero)";"20140927";"14.1";"14.1.0.0";"Citrix Systems, Inc."
10.2.67.80;"Citrix Receiver(USB)";"20140927";"14.1";"14.1.0.0";"Citrix Systems, Inc."
10.2.67.80;"Windows Live Essentials";"20111020";"14.0";"14.0.8117.416";"Microsoft Corporation"
10.2.67.80;"Citrix Receiver(SSON)";"20140927";"14.1";"14.1.0.0";"Citrix Systems, Inc."
10.2.67.80;"tools-netware";"20140625";"9.6";"9.6.1.1379776";"VMware, Inc."
10.2.67.80;"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148";"20120210";"9.0";"9.0.30729.4148";"Microsoft Corporation"
10.2.67.80;"MSVCRT";"20111020";"14.0";"14.0.1468.721";"Microsoft"
10.2.67.80;"Java 7 Update 60";"20141031";"7.0";"7.0.600";"Oracle"
10.2.67.80;"Windows Live Communications Platform";"20111020";"14.0";"14.0.8117.416";"Microsoft Corporation"
10.2.67.80;"Java SE Development Kit 7 Update 60";"20141031";"1.7";"1.7.0.600";"Oracle"
