10.2.0.113;"BRQ\anamarques"
10.2.0.114;"BRQ\marcianascimento"
10.2.0.115;"BRQ\flemos"
10.2.0.116;"BRQ\carlosnascimento"
10.2.0.117;"BRQ\niltongoncalves"
10.2.0.118;"BRQ\janekelly"
10.2.0.120;"BRQ\gnigro"
10.2.0.121;"BRQ\andreiarodrigues"
10.2.0.122;"BRQ\daniellerego"
10.2.0.123;"BRQ\alexandrecosta"
10.2.0.124;"BRQ\mcardoso"
10.2.0.125;"BRQ\meryreis"
10.2.0.126;"BRQ\ealvessantos"
10.2.0.127;"BRQ\nmota"
10.2.0.128;"BRQ\amandamlima"
10.2.0.129;"BRQ\costen"
10.2.0.134;"BRQ\marcianascimento"
10.2.0.136;"BRQ\aclima"
10.2.0.222;"VCENTERSP\hmlocal"
10.2.100.10;"BRQ\jadersilva"
10.2.100.110;"BRQ\gleiciar"
10.2.100.115;"BRQ\snovaes"
10.2.100.118;"BRQ\michaelsantos"
10.2.100.121;"BRQ\lfederici"
10.2.100.124;"BRQ\jmarins"
10.2.100.127;"BRQ\mmenezes"
10.2.100.130;"BRQ\rferrao"
10.2.100.133;"BRQ\denislopes"
10.2.100.135;"BRQ\daviddovalle"
10.2.100.136;"BRQ\julianaguimaraes"
10.2.100.142;"BRQ\brunobgw"
10.2.100.143;"BRQ\mpaschoal"
10.2.100.151;"BRQ\pfogaca"
10.2.100.155;"BRQ\msobrinho"
10.2.100.156;"BRQ\jlello"
10.2.100.161;"BRQ\vanessamoraes"
10.2.100.171;"BRQ\mfonseca"
10.2.100.174;"BRQ\ctausz"
10.2.100.176;"BRQ\flaviamacedo"
10.2.100.177;"BRQ\andersonbarbosa"
10.2.100.178;"BRQ\lfederici"
10.2.100.179;"BRQ\psantos"
10.2.100.185;"BRQ\gribeiro"
10.2.100.187;"BRQ\gcmendes"
10.2.100.18;"BRQ\izabel"
10.2.100.190;"BRQ\mromagnoli"
10.2.100.191;"BRQ\aroosevelt"
10.2.100.194;"BRQ\daniellerego"
10.2.100.198;"BRQ\felipeoliveira"
10.2.100.199;"BRQ\vsena"
10.2.100.209;"BRQ\snovaes"
10.2.100.221;"BRQ\meryreis"
10.2.100.222;"BRQ\cmagaldi"
10.2.100.230;"BRQ\rpierre"
10.2.100.233;"BRQ\cfelicio"
10.2.100.234;"BRQ\rafaellacerda"
10.2.100.235;"BRQ\lmendonca"
10.2.100.236;"BRQ\rbpsilva_fteo"
10.2.100.238;"jmarins"
10.2.100.239;"BRQ\andreasouza"
10.2.100.240;"BRQ\patriciazorzan"
10.2.100.241;"BRQ\levyguimaraes"
10.2.100.246;"BRQ\gloriamoreira"
10.2.100.254;"BRQ\salmeida"
10.2.100.26;"BRQ\gleice"
10.2.100.27;"BRQ\fafernandes"
10.2.100.28;"BRQ\jbusch"
10.2.100.36;"BRQ\sergioluigi"
10.2.100.41;"BRQ\mcorrea"
10.2.100.44;"BRQ\pmariano"
10.2.100.4;"BRQ\julianopereira"
10.2.100.50;"BRQ\guilhermeassis"
10.2.100.51;"BRQ\lvieira"
10.2.100.53;"BRQ\felipebrum"
10.2.100.59;"jgomes"
10.2.100.63;"BRQ\marcianascimento"
10.2.100.65;"BRQ\rleao"
10.2.100.66;"jmesquita"
10.2.100.69;"BRQ\asantiago"
10.2.100.74;"BRQ\leandrofurini"
10.2.100.76;"BRQ\fquintanilha"
10.2.100.77;"BRQ\augustofonseca"
10.2.100.7;"BRQ\rpedrosa"
10.2.100.80;"BRQ\valbarbato"
10.2.100.81;"BRQ\gcampos"
10.2.100.82;"BRQ\edmomello"
10.2.100.83;"BRQ\andreafrazao"
10.2.100.85;"BRQ\patricialucas"
10.2.100.86;"BRQ\sergiopereira"
10.2.100.87;"BRQ\cnbarbosa"
10.2.100.88;"BRQ\jtc"
10.2.100.93;"BRQ\wagnerrodrigues"
10.2.100.94;"BRQ\adolfodouahy"
10.2.100.95;"BRQ\priscilacardozo"
10.2.100.97;"BRQ\mtfontes"
10.2.101.0;"BRQ\renansena"
10.2.101.100;"cdeulefeu"
10.2.101.104;"BRQ\darlancaldas"
10.2.101.107;"BRQ\smsilva"
10.2.101.108;"BRQ\fnicodemos"
10.2.101.10;"BRQ\amandamlima"
10.2.101.121;"BRQ\hugop"
10.2.101.128;"BRQ\guilhermeviana"
10.2.101.12;"BRQ\llabio"
10.2.101.130;"BRQ\diogovalim"
10.2.101.131;"BRQ\danilosilva"
10.2.101.134;"BRQ\ppassos"
10.2.101.136;"BRQ\anamartins"
10.2.101.138;"BRQ\rafaellacerda"
10.2.101.13;"cmelo_fteo"
10.2.101.140;"BRQ\fernandabispo"
10.2.101.142;"BRQ\ahogemann"
10.2.101.14;"BRQ\kamyllasouza"
10.2.101.151;"BRQ\claytonoliveira"
10.2.101.156;"BRQ\lnsilva"
10.2.101.162;"BRQ\gbastos"
10.2.101.167;"BRQ\tmedeiros"
10.2.101.169;"BRQ\mjezuz"
10.2.101.16;"BRQ\luciaparecida"
10.2.101.170;"BRQ\lgfranco"
10.2.101.174;"BRQ\eprata"
10.2.101.176;"BRQ\andersonas"
10.2.101.178;"BRQ\dsuarez"
10.2.101.181;"BRQ\murilolopes"
10.2.101.190;"BRQ\sidneiesteves"
10.2.101.191;"BRQ\netonemer"
10.2.101.193;"BRQ\waltermuniz"
10.2.101.195;"BRQ\jlello"
10.2.101.198;"BRQ\tomazcorrea"
10.2.101.199;"BRQ\leandrochaves"
10.2.101.19;"BRQ\marcosgarcia"
10.2.101.201;"BRQ\marcosgarcia"
10.2.101.206;"BRQ\simonegomes"
10.2.101.20;"BRQ\livaniosilva"
10.2.101.214;"BRQ\fohana"
