DescriptionLabelTextbox,DescriptionTextbox
Descrição,Este relatório lista todos os computadores com software específico instalado. Ele está vinculado a Software 02E - Software instalado em um computador específico.

Header_Table0_ComputerName,Header_Table0_ComputerManufacturer,Header_Table0_ComputerModel,Header_Table0_ProductName,Header_Table0_ProductID,Header_Table0_DSLID,Header_Table0_InstallationType,Details_Table0_ComputerName,Details_Table0_ComputerManufacturer,Details_Table0_ComputerModel,Details_Table0_ProductName,Details_Table0_ProductID,Details_Table0_DSLID,Details_Table0_InstallationType
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,AMS138,INTEL_,D945GCR_,Microsoft Office Professional Plus 2010,82503-493-0072964-48896,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT007056,INTEL_,D945GCR_,Microsoft Office Professional Plus 2010,82503-493-0072964-48514,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT008811,Dell Inc.,OptiPlex 755,Microsoft Office Professional Plus 2010,82503-018-0000106-48520,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT009452,LENOVO,IPM31,Microsoft Office Professional Plus 2010,02260-018-0000106-48863,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT009453,LENOVO,7848,Microsoft Office Professional Plus 2010,82503-493-0072964-48568,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT012076,LENOVO,7848,Microsoft Office Professional Plus 2010,82503-493-0072964-48831,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT012394,LENOVO,7848,Microsoft Office Professional Plus 2010,02260-493-0072964-48967,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT012496,LENOVO,IPM31,Microsoft Office Professional Plus 2010,82503-493-0072964-48841,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT012499,LENOVO,7848,Microsoft Office Professional Plus 2010,02260-018-0000106-48464,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT013081,LENOVO,7848,Microsoft Office Professional Plus 2010,02260-018-0000106-48080,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT013145,LENOVO,7848,Microsoft Office Professional Plus 2010,82503-018-0000106-48551,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT014414,LENOVO,7848,Microsoft Office Professional Plus 2010,82503-493-0072964-48454,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT014544,Hewlett-Packard,Compaq 510,Microsoft Office Professional Plus 2010,82503-018-0000106-48445,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT014589,LENOVO,7848,Microsoft Office Professional Plus 2010,02260-018-0000106-48647,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT014597,LENOVO,7848,Microsoft Office Professional Plus 2010,02260-018-0000106-48310,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT014651,LENOVO,IPM31,Microsoft Office Professional Plus 2010,82503-493-0072964-48925,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT015819,LENOVO,7848,Microsoft Office Professional Plus 2010,82503-493-0072964-48844,,Fisicamente instalado
