DescriptionLabelTextbox,DescriptionTextbox
Descrição,Este relatório lista todos os computadores com software específico instalado. Ele está vinculado a Software 02E - Software instalado em um computador específico.

Header_Table0_ComputerName,Header_Table0_ComputerManufacturer,Header_Table0_ComputerModel,Header_Table0_ProductName,Header_Table0_ProductID,Header_Table0_DSLID,Header_Table0_InstallationType,Details_Table0_ComputerName,Details_Table0_ComputerManufacturer,Details_Table0_ComputerModel,Details_Table0_ProductName,Details_Table0_ProductID,Details_Table0_DSLID,Details_Table0_InstallationType
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,AMS138,INTEL_,D945GCR_,Microsoft Office Project Professional 2010,82503-346-1716535-49579,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT009452,LENOVO,IPM31,Microsoft Office Project Professional 2010,02253-001-0000205-49503,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT012365,LENOVO,7848,Microsoft Office Project Professional 2010,02253-001-0000205-49769,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT012499,LENOVO,7848,Microsoft Office Project Professional 2010,02253-001-0000205-49998,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT013081,LENOVO,7848,Microsoft Office Project Professional 2010,02253-001-0000205-49779,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT014544,Hewlett-Packard,Compaq 510,Microsoft Office Project Professional 2010,82503-001-0000205-49046,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT015819,LENOVO,7848,Microsoft Office Project Professional 2010,02253-346-1716535-49435,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT015906,LENOVO,7848,Microsoft Office Project Professional 2010,82503-001-0000205-49548,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT017547,LENOVO,5474G4P,Microsoft Office Project Professional 2010,02253-346-1716535-49110,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT017557,LENOVO,5474G4P,Microsoft Office Project Professional 2010,02253-001-0000205-49633,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT017739,LENOVO,3569A8P,Microsoft Office Project Professional 2010,02253-001-0000205-49595,,Fisicamente instalado
