DescriptionLabelTextbox,DescriptionTextbox
Descrição,Este relatório lista todos os computadores com software específico instalado. Ele está vinculado a Software 02E - Software instalado em um computador específico.

Header_Table0_ComputerName,Header_Table0_ComputerManufacturer,Header_Table0_ComputerModel,Header_Table0_ProductName,Header_Table0_ProductID,Header_Table0_DSLID,Header_Table0_InstallationType,Details_Table0_ComputerName,Details_Table0_ComputerManufacturer,Details_Table0_ComputerModel,Details_Table0_ProductName,Details_Table0_ProductID,Details_Table0_DSLID,Details_Table0_InstallationType
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,ALPHASERVER10,"VMware, Inc.",VMware Virtual Platform,Microsoft Office Standard 2010,82503-619-1215156-38477,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,ALPHASERVER15,"VMware, Inc.",VMware Virtual Platform,Microsoft Office Standard 2010,82503-619-1215156-38978,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,AMS138,INTEL_,D945GCR_,Microsoft Office Standard 2010,02278-619-1215156-38425,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT007056,INTEL_,D945GCR_,Microsoft Office Standard 2010,02278-619-1215156-38554,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT009444E,LENOVO,7848b5p,Microsoft Office Standard 2010,02278-619-1215156-38808,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT009453,LENOVO,7848,Microsoft Office Standard 2010,02278-619-1215156-38987,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT012076,LENOVO,7848,Microsoft Office Standard 2010,02278-619-1215156-38567,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT012078,LENOVO,7848,Microsoft Office Standard 2010,02278-619-1215156-38287,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT012092,LENOVO,7848,Microsoft Office Standard 2010,02278-619-1215156-38217,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT012365,LENOVO,7848,Microsoft Office Standard 2010,02278-619-1215156-38615,,Fisicamente instalado
