DescriptionLabelTextbox,DescriptionTextbox
Descrição,Este relatório lista todos os computadores com software específico instalado. Ele está vinculado a Software 02E - Software instalado em um computador específico.

Header_Table0_ComputerName,Header_Table0_ComputerManufacturer,Header_Table0_ComputerModel,Header_Table0_ProductName,Header_Table0_ProductID,Header_Table0_DSLID,Header_Table0_InstallationType,Details_Table0_ComputerName,Details_Table0_ComputerManufacturer,Details_Table0_ComputerModel,Details_Table0_ProductName,Details_Table0_ProductID,Details_Table0_DSLID,Details_Table0_InstallationType
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT012072,LENOVO,7848,Microsoft Office Visio 2010,02290-001-0000502-69426,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT013001,LENOVO,IPM31,Microsoft Office Visio 2010,02290-001-0000502-69805,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT013146,LENOVO,7848,Microsoft Office Visio 2010,02290-575-0072964-69644,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT014544,Hewlett-Packard,Compaq 510,Microsoft Office Visio 2010,02290-575-0072964-69739,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT0145800,LENOVO,IPM31,Microsoft Office Visio 2010,82503-001-0000502-69915,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT015906,LENOVO,7848,Microsoft Office Visio 2010,02290-575-0072964-69646,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT017547,LENOVO,5474G4P,Microsoft Office Visio 2010,02290-001-0000502-69820,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT018292,Hewlett-Packard,HP Compaq 6200 Pro MT PC,Microsoft Office Visio 2010,02290-575-0072964-69696,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT018394,Hewlett-Packard,HP Compaq 6200 Pro MT PC,Microsoft Office Visio 2010,02290-575-0072964-69513,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT018404,Hewlett-Packard,HP Compaq 6200 Pro MT PC,Microsoft Office Visio 2010,02290-575-0072964-69818,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB011440,Hewlett-Packard,Compaq 510,Microsoft Office Visio 2010,02290-001-0000502-69371,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB016593,LENOVO,3254E4P,Microsoft Office Visio 2010,02290-001-0000502-69752,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB016599E,LENOVO,3254E4P,Microsoft Office Visio 2010,02290-001-0000502-69506,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB016664,LENOVO,32549BP,Microsoft Office Visio 2010,02290-001-0000502-69418,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB017260,LENOVO,0913,Microsoft Office Visio 2010,02290-001-0000502-69381,,Fisicamente instalado
