DescriptionLabelTextbox,DescriptionTextbox
Descrição,Este relatório lista todos os computadores com software específico instalado. Ele está vinculado a Software 02E - Software instalado em um computador específico.

Header_Table0_ComputerName,Header_Table0_ComputerManufacturer,Header_Table0_ComputerModel,Header_Table0_ProductName,Header_Table0_ProductID,Header_Table0_DSLID,Header_Table0_InstallationType,Details_Table0_ComputerName,Details_Table0_ComputerManufacturer,Details_Table0_ComputerModel,Details_Table0_ProductName,Details_Table0_ProductID,Details_Table0_DSLID,Details_Table0_InstallationType
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,CITRIXPRODRM05,"VMware, Inc.",VMware Virtual Platform,Microsoft Office Professional Plus 2010,82503-493-0072964-48475,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT011317,LENOVO,7848,Microsoft Office Professional Plus 2010,02260-018-0000106-48495,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT012360,LENOVO,7848,Microsoft Office Professional Plus 2010,82503-018-0000106-48537,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT012493,LENOVO,7848,Microsoft Office Professional Plus 2010,02260-018-0000106-48017,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT013122,LENOVO,IPM31,Microsoft Office Professional Plus 2010,02260-018-0000106-48061,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT013143,LENOVO,IPM31,Microsoft Office Professional Plus 2010,02260-018-0000106-48755,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT0152110,LENOVO,7848,Microsoft Office Professional Plus 2010,82503-493-0072964-48010,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT015220,LENOVO,7848,Microsoft Office Professional Plus 2010,02260-018-0000106-48132,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT017144,LENOVO,7099A5P,Microsoft Office Professional Plus 2010,02260-018-0000106-48140,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT017152,LENOVO,7099A5P,Microsoft Office Professional Plus 2010,82503-493-0072964-48769,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT017155,LENOVO,7099A5P,Microsoft Office Professional Plus 2010,82503-018-0000106-48113,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT017669E,LENOVO,3569A8P,Microsoft Office Professional Plus 2010,82503-018-0000106-48230,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT017687E,LENOVO,3569A8P,Microsoft Office Professional Plus 2010,02260-018-0000106-48130,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT017712E,LENOVO,3569A8P,Microsoft Office Professional Plus 2010,02260-018-0000106-48878,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT017717E,LENOVO,3569A8P,Microsoft Office Professional Plus 2010,82503-018-0000106-48293,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT017760E,LENOVO,3569A8P,Microsoft Office Professional Plus 2010,02260-018-0000106-48358,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT017770E,LENOVO,3569A8P,Microsoft Office Professional Plus 2010,02260-018-0000106-48472,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT017772E,LENOVO,3569A8P,Microsoft Office Professional Plus 2010,02260-018-0000106-48235,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT017775E,LENOVO,3569A8P,Microsoft Office Professional Plus 2010,82503-018-0000106-48057,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT017817E,LENOVO,3569A8P,Microsoft Office Professional Plus 2010,82503-018-0000106-48550,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT018227,Hewlett-Packard,HP Compaq 6200 Pro MT PC,Microsoft Office Professional Plus 2010,02260-018-0000106-48269,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT018289,Hewlett-Packard,HP Compaq 6200 Pro MT PC,Microsoft Office Professional Plus 2010,02260-018-0000106-48831,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT018398,Hewlett-Packard,HP Compaq 6200 Pro MT PC,Microsoft Office Professional Plus 2010,82503-018-0000106-48500,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT018415,Hewlett-Packard,HP Compaq 6200 Pro MT PC,Microsoft Office Professional Plus 2010,82503-018-0000106-48492,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT018416,Hewlett-Packard,HP Compaq 6200 Pro MT PC,Microsoft Office Professional Plus 2010,02260-018-0000106-48143,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT020998,LENOVO,3569A8P,Microsoft Office Professional Plus 2010,02260-493-0072964-48502,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT021001,LENOVO,3569A8P,Microsoft Office Professional Plus 2010,02260-018-0000106-48010,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT021024,LENOVO,3569PPP,Microsoft Office Professional Plus 2010,02260-018-0000106-48339,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT021031,LENOVO,3569PPP,Microsoft Office Professional Plus 2010,02260-018-0000106-48264,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT021034,LENOVO,3569PPP,Microsoft Office Professional Plus 2010,02260-018-0000106-48767,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT022037,LENOVO,3569A8P,Microsoft Office Professional Plus 2010,02260-018-0000106-48006,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT022039,LENOVO,3569A8P,Microsoft Office Professional Plus 2010,02260-018-0000106-48006,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT022138,LENOVO,3569A8P,Microsoft Office Professional Plus 2010,82503-018-0000106-48696,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT022163,LENOVO,3569A8P,Microsoft Office Professional Plus 2010,82503-493-0072964-48089,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT022271,LENOVO,3569Q6P,Microsoft Office Professional Plus 2010,02260-493-0072964-48304,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT022276,LENOVO,3569Q6P,Microsoft Office Professional Plus 2010,82503-493-0072964-48434,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB0020074,LENOVO,057938P,Microsoft Office Professional Plus 2010,82503-018-0000106-48609,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB0020120,LENOVO,1141EJP,Microsoft Office Professional Plus 2010,02260-493-0072964-48619,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB011442,Hewlett-Packard,Compaq 510,Microsoft Office Professional Plus 2010,02260-018-0000106-48396,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB012111,Hewlett-Packard,Compaq 510,Microsoft Office Professional Plus 2010,02260-018-0000106-48376,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB014527,Hewlett-Packard,Compaq 510,Microsoft Office Professional Plus 2010,82503-018-0000106-48804,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB014541,Hewlett-Packard,Compaq 510,Microsoft Office Professional Plus 2010,82503-018-0000106-48062,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB015943,LENOVO,0913,Microsoft Office Professional Plus 2010,82503-018-0000106-48557,,Fisicamente instalado
