DescriptionLabelTextbox,DescriptionTextbox
Descrição,Este relatório lista todos os computadores com software específico instalado. Ele está vinculado a Software 02E - Software instalado em um computador específico.

Header_Table0_ComputerName,Header_Table0_ComputerManufacturer,Header_Table0_ComputerModel,Header_Table0_ProductName,Header_Table0_ProductID,Header_Table0_DSLID,Header_Table0_InstallationType,Details_Table0_ComputerName,Details_Table0_ComputerManufacturer,Details_Table0_ComputerModel,Details_Table0_ProductName,Details_Table0_ProductID,Details_Table0_DSLID,Details_Table0_InstallationType
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,CITRIXPROD112,"VMware, Inc.",VMware Virtual Platform,Microsoft Office Professional Plus 2013,00216-40000-00000-AA488,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,CITRIXPRODRM04,"VMware, Inc.",VMware Virtual Platform,Microsoft Office Professional Plus 2013,00216-40000-00000-AA527,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,CITRIXPRODRM05,"VMware, Inc.",VMware Virtual Platform,Microsoft Office Professional Plus 2013,00216-40000-00000-AA527,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,CITRIXPRODRM06,"VMware, Inc.",VMware Virtual Platform,Microsoft Office Professional Plus 2013,00216-40000-00000-AA527,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,CITRIXPRODRM07,"VMware, Inc.",VMware Virtual Platform,Microsoft Office Professional Plus 2013,00216-40000-00000-AA527,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,CITRIXPRODRM11,"VMware, Inc.",VMware Virtual Platform,Microsoft Office Professional Plus 2013,00216-40000-00000-AA527,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,CITRIXPRODRM13,"VMware, Inc.",VMware Virtual Platform,Microsoft Office Professional Plus 2013,00216-40000-00000-AA527,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,CITRIXPRODRM14,"VMware, Inc.",VMware Virtual Platform,Microsoft Office Professional Plus 2013,00216-40000-00000-AA527,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,CITRIXPRODRM17,"VMware, Inc.",VMware Virtual Platform,Microsoft Office Professional Plus 2013,00216-40000-00000-AA527,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,CITRIXPRODRM18,"VMware, Inc.",VMware Virtual Platform,Microsoft Office Professional Plus 2013,00216-40000-00000-AA527,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,CITRIXPRODRM20,"VMware, Inc.",VMware Virtual Platform,Microsoft Office Professional Plus 2013,00216-40000-00000-AA527,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT020993,LENOVO,3569A8P,Microsoft Office Professional Plus 2013,00216-40000-00000-AA380,,Fisicamente instalado
