DescriptionLabelTextbox,DescriptionTextbox
Descrição,Este relatório lista todos os computadores com software específico instalado. Ele está vinculado a Software 02E - Software instalado em um computador específico.

Header_Table0_ComputerName,Header_Table0_ComputerManufacturer,Header_Table0_ComputerModel,Header_Table0_ProductName,Header_Table0_ProductID,Header_Table0_DSLID,Header_Table0_InstallationType,Details_Table0_ComputerName,Details_Table0_ComputerManufacturer,Details_Table0_ComputerModel,Details_Table0_ProductName,Details_Table0_ProductID,Details_Table0_DSLID,Details_Table0_InstallationType
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT00192,INTEL_,D865GLC_,Microsoft Office Project Professional 2010,02253-346-1716535-49223,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT006997,Dell Inc.,Vostro 200,Microsoft Office Project Professional 2010,82503-552-5032272-37720,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT009461,LENOVO,7848b5p,Microsoft Office Project Professional 2010,82503-001-0000205-49538,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT012488,LENOVO,7848,Microsoft Office Project Professional 2010,,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT013154,LENOVO,IPM31,Microsoft Office Project Professional 2010,82503-001-0000205-49182,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT015827,LENOVO,7848,Microsoft Office Project Professional 2010,02253-346-1716535-49355,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT017712E,LENOVO,3569A8P,Microsoft Office Project Professional 2010,82503-001-0000205-49531,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT021001,LENOVO,3569A8P,Microsoft Office Project Professional 2010,02253-001-0000205-49320,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT022159,LENOVO,3569A8P,Microsoft Office Project Professional 2010,82503-001-0000205-49196,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT022262,LENOVO,3569A8P,Microsoft Office Project Professional 2010,02253-001-0000205-49304,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT022271,LENOVO,3569Q6P,Microsoft Office Project Professional 2010,02253-001-0000205-49366,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB0020074,LENOVO,057938P,Microsoft Office Project Professional 2010,82503-001-0000205-49362,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB0020120,LENOVO,1141EJP,Microsoft Office Project Professional 2010,82503-001-0000205-49662,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB011442,Hewlett-Packard,Compaq 510,Microsoft Office Project Professional 2010,02253-001-0000205-49319,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB014513,Hewlett-Packard,Compaq 510,Microsoft Office Project Professional 2010,82503-346-1716535-49849,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB015980,LENOVO,0913,Microsoft Office Project Professional 2010,02253-001-0000205-49220,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB016566,LENOVO,3254E4P,Microsoft Office Project Professional 2010,02253-001-0000205-49615,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB016575,LENOVO,3254E4P,Microsoft Office Project Professional 2010,82503-001-0000205-49196,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB016624,LENOVO,3254E4P,Microsoft Office Project Professional 2010,82503-001-0000205-49196,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB016635,LENOVO,3254E4P,Microsoft Office Project Professional 2010,02253-001-0000205-49462,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB016642E,LENOVO,3254E4P,Microsoft Office Project Professional 2010,02253-001-0000205-49196,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB016647EX,LENOVO,3254E4P,Microsoft Office Project Professional 2010,82503-001-0000205-49739,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB016673,LENOVO,32549BP,Microsoft Office Project Professional 2010,82503-001-0000205-49656,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB017277,LENOVO,0913,Microsoft Office Project Professional 2010,82503-001-0000205-49741,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB017287,LENOVO,0913,Microsoft Office Project Professional 2010,82503-001-0000205-49900,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB017855,LENOVO,3254E4P,Microsoft Office Project Professional 2010,82503-001-0000205-49625,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB017857,LENOVO,3254E4P,Microsoft Office Project Professional 2010,82503-001-0000205-49250,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB017864,LENOVO,3254E4P,Microsoft Office Project Professional 2010,82503-001-0000205-49196,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB018100E,LENOVO,3254E4P,Microsoft Office Project Professional 2010,02253-001-0000205-49161,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB018106E,LENOVO,3254E4P,Microsoft Office Project Professional 2010,82503-001-0000205-49297,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB018115E,LENOVO,3254E4P,Microsoft Office Project Professional 2010,02253-001-0000205-49565,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB018124E,LENOVO,3254E4P,Microsoft Office Project Professional 2010,02253-001-0000205-49861,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB018134E,LENOVO,3254E4P,Microsoft Office Project Professional 2010,02253-346-1716535-49966,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB018141E,LENOVO,3254E4P,Microsoft Office Project Professional 2010,02253-001-0000205-49747,,Fisicamente instalado
