DescriptionLabelTextbox,DescriptionTextbox
Descrição,Este relatório lista todos os computadores com software específico instalado. Ele está vinculado a Software 02E - Software instalado em um computador específico.

Header_Table0_ComputerName,Header_Table0_ComputerManufacturer,Header_Table0_ComputerModel,Header_Table0_ProductName,Header_Table0_ProductID,Header_Table0_DSLID,Header_Table0_InstallationType,Details_Table0_ComputerName,Details_Table0_ComputerManufacturer,Details_Table0_ComputerModel,Details_Table0_ProductName,Details_Table0_ProductID,Details_Table0_DSLID,Details_Table0_InstallationType
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,CITRIXPRODRM04,"VMware, Inc.",VMware Virtual Platform,Microsoft Office Standard 2010,82503-619-1215156-38269,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,CITRIXPRODRM05,"VMware, Inc.",VMware Virtual Platform,Microsoft Office Standard 2010,82503-619-1215156-38637,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,CITRIXPRODRM06,"VMware, Inc.",VMware Virtual Platform,Microsoft Office Standard 2010,82503-619-1215156-38327,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,CITRIXPRODRM07,"VMware, Inc.",VMware Virtual Platform,Microsoft Office Standard 2010,82503-619-1215156-38351,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,CITRIXPRODRM11,"VMware, Inc.",VMware Virtual Platform,Microsoft Office Standard 2010,82503-619-1215156-38470,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT00192,INTEL_,D865GLC_,Microsoft Office Standard 2010,02278-619-1215156-38064,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT006997,Dell Inc.,Vostro 200,Microsoft Office Standard 2010,82503-619-1215156-38334,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT007010,Dell Inc.,Vostro 200,Microsoft Office Standard 2010,82503-619-1215156-38893,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT009454,LENOVO,IPM31,Microsoft Office Standard 2010,82503-619-1215156-38205,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT009461,LENOVO,7848b5p,Microsoft Office Standard 2010,82503-619-1215156-38255,,Fisicamente instalado
