DescriptionLabelTextbox,DescriptionTextbox
Descrição,Este relatório lista todos os computadores com software específico instalado. Ele está vinculado a Software 02E - Software instalado em um computador específico.

Header_Table0_ComputerName,Header_Table0_ComputerManufacturer,Header_Table0_ComputerModel,Header_Table0_ProductName,Header_Table0_ProductID,Header_Table0_DSLID,Header_Table0_InstallationType,Details_Table0_ComputerName,Details_Table0_ComputerManufacturer,Details_Table0_ComputerModel,Details_Table0_ProductName,Details_Table0_ProductID,Details_Table0_DSLID,Details_Table0_InstallationType
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,CITRIXPROD112,"VMware, Inc.",VMware Virtual Platform,Microsoft Office Visio 2010,82503-001-0000502-69724,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT00192,INTEL_,D865GLC_,Microsoft Office Visio 2010,82503-001-0000502-69762,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT012094,LENOVO,7848,Microsoft Office Visio 2010,02290-001-0000502-69887,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT012356,LENOVO,IPM31,Microsoft Office Visio 2010,82503-775-1204597-69455,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT013132,LENOVO,7848,Microsoft Office Visio 2010,82503-775-1204597-69641,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT013154,LENOVO,IPM31,Microsoft Office Visio 2010,82503-001-0000502-69851,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT014409,LENOVO,7848,Microsoft Office Visio 2010,02292-775-1204597-69927,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT014585,LENOVO,7848,Microsoft Office Visio 2010,02290-575-0072964-69171,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT016520E,LENOVO,1577K1P,Microsoft Office Visio 2010,82503-775-1204597-69572,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT017144,LENOVO,7099A5P,Microsoft Office Visio 2010,02290-575-0072964-69521,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT017669E,LENOVO,3569A8P,Microsoft Office Visio 2010,02290-575-0072964-69438,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT017681E,LENOVO,3569A8P,Microsoft Office Visio 2010,02290-575-0072964-69892,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT017712E,LENOVO,3569A8P,Microsoft Office Visio 2010,82503-001-0000502-69188,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT017775E,LENOVO,3569A8P,Microsoft Office Visio 2010,02290-001-0000502-69332,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT018265,Hewlett-Packard,HP Compaq 6200 Pro MT PC,Microsoft Office Visio 2010,02292-775-1204597-69947,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT020993,LENOVO,3569A8P,Microsoft Office Visio 2010,02290-001-0000502-69818,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT021000,LENOVO,3569A8P,Microsoft Office Visio 2010,82503-001-0000502-69709,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT021044,LENOVO,3569A8P,Microsoft Office Visio 2010,02292-775-1204597-69469,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT022276,LENOVO,3569Q6P,Microsoft Office Visio 2010,02290-001-0000502-69996,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT0222890,LENOVO,3569Q6P,Microsoft Office Visio 2010,02290-001-0000502-69087,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB010892,LENOVO,0913,Microsoft Office Visio 2010,02290-575-0072964-69507,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB015951,LENOVO,0913,Microsoft Office Visio 2010,02292-775-1204597-69481,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB015980,LENOVO,0913,Microsoft Office Visio 2010,02290-575-0072964-69117,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB016642E,LENOVO,3254E4P,Microsoft Office Visio 2010,02290-575-0072964-69230,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB016657E,LENOVO,3254E4P,Microsoft Office Visio 2010,02290-575-0072964-69684,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB016665E,LENOVO,32549BP,Microsoft Office Visio 2010,02290-575-0072964-69504,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB016673,LENOVO,32549BP,Microsoft Office Visio 2010,82503-001-0000502-69591,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB016695E,LENOVO,3254E4P,Microsoft Office Visio 2010,02290-001-0000502-69468,,Fisicamente instalado
