DescriptionLabelTextbox,DescriptionTextbox
Descrição,Este relatório lista todos os computadores com software específico instalado. Ele está vinculado a Software 02E - Software instalado em um computador específico.

Header_Table0_ComputerName,Header_Table0_ComputerManufacturer,Header_Table0_ComputerModel,Header_Table0_ProductName,Header_Table0_ProductID,Header_Table0_DSLID,Header_Table0_InstallationType,Details_Table0_ComputerName,Details_Table0_ComputerManufacturer,Details_Table0_ComputerModel,Details_Table0_ProductName,Details_Table0_ProductID,Details_Table0_DSLID,Details_Table0_InstallationType
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT014434,LENOVO,7848,Microsoft Office Visio Professional 2007,89405-707-0356806-63559,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT0152110,LENOVO,7848,Microsoft Office Visio Professional 2007,89405-707-0356806-63246,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT016311,LENOVO,7099A5P,Microsoft Office Visio Professional 2007,89405-870-0831295-63553,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT018247,Hewlett-Packard,HP Compaq 6200 Pro MT PC,Microsoft Office Visio Professional 2007,89405-707-0356806-63391,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT018278,Hewlett-Packard,HP Compaq 6200 Pro MT PC,Microsoft Office Visio Professional 2007,89405-707-0356806-63246,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT020998,LENOVO,3569A8P,Microsoft Office Visio Professional 2007,89405-707-0356806-63267,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT020999,LENOVO,3569A8P,Microsoft Office Visio Professional 2007,89405-707-0356806-63267,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT021001,LENOVO,3569A8P,Microsoft Office Visio Professional 2007,89405-707-0356806-63718,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT022159,LENOVO,3569A8P,Microsoft Office Visio Professional 2007,89405-707-0356806-63835,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT022283,LENOVO,3569A8P,Microsoft Office Visio Professional 2007,89405-707-0356806-63292,,Fisicamente instalado
