DescriptionLabelTextbox,DescriptionTextbox
Descrição,Este relatório lista todos os computadores com software específico instalado. Ele está vinculado a Software 02E - Software instalado em um computador específico.

Header_Table0_ComputerName,Header_Table0_ComputerManufacturer,Header_Table0_ComputerModel,Header_Table0_ProductName,Header_Table0_ProductID,Header_Table0_DSLID,Header_Table0_InstallationType,Details_Table0_ComputerName,Details_Table0_ComputerManufacturer,Details_Table0_ComputerModel,Details_Table0_ProductName,Details_Table0_ProductID,Details_Table0_DSLID,Details_Table0_InstallationType
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT012398,LENOVO,7848,Microsoft Visual Studio 2010 Professional - ENU,01018-532-2002102-70739,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT016296,LENOVO,7099A5P,Microsoft Visual Studio 2010 Professional - ENU,01018-532-2002102-70458,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT017687E,LENOVO,3569A8P,Microsoft Visual Studio 2010 Professional - ENU,01018-532-2002163-70914,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT017798,Hewlett-Packard,HP Compaq 6200 Pro MT PC,Microsoft Visual Studio 2010 Professional - ENU,01018-532-2002102-70177,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT018218,Hewlett-Packard,HP Compaq 6200 Pro MT PC,Microsoft Visual Studio 2010 Professional - ENU,01018-532-2002163-70423,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT018273,Hewlett-Packard,HP Compaq 6200 Pro MT PC,Microsoft Visual Studio 2010 Professional - ENU,01018-532-2002102-70009,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT018279,Hewlett-Packard,HP Compaq 6200 Pro MT PC,Microsoft Visual Studio 2010 Professional - ENU,01018-532-2002102-70744,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB016606,LENOVO,3254E4P,Microsoft Visual Studio 2010 Professional - ENU,01018-532-2002102-70811,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB016655,LENOVO,3254E4P,Microsoft Visual Studio 2010 Professional - ENU,01018-532-2002102-70580,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB017287,LENOVO,0913,Microsoft Visual Studio 2010 Professional - ENU,01018-532-2002163-70492,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB018103E,LENOVO,3254E4P,Microsoft Visual Studio 2010 Professional - ENU,01018-532-2002181-70423,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB018115E,LENOVO,3254E4P,Microsoft Visual Studio 2010 Professional - ENU,01018-532-2002102-70122,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB018132E,LENOVO,3254E4P,Microsoft Visual Studio 2010 Professional - ENU,01018-532-2002102-70590,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB020082,LENOVO,057938P,Microsoft Visual Studio 2010 Professional - ENU,01018-532-2002102-70535,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB020151,Hewlett-Packard,HP 430 Notebook PC,Microsoft Visual Studio 2010 Professional - ENU,01018-532-2002163-70703,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB021485,LENOVO,3254TMP,Microsoft Visual Studio 2010 Professional - ENU,01018-532-2002102-70049,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB022024,LENOVO,3254H4P,Microsoft Visual Studio 2010 Professional - ENU,01018-532-2002163-70667,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB022226,LENOVO,3254H4P,Microsoft Visual Studio 2010 Professional - ENU,01018-532-2002102-70166,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB023603,LENOVO,3254H4P,Microsoft Visual Studio 2010 Professional - ENU,01018-532-2002102-70593,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,SPSERVER242,"VMware, Inc.",VMware Virtual Platform,Microsoft Visual Studio 2010 Professional - ENU,01018-532-2002102-70194,,Fisicamente instalado

