DescriptionLabelTextbox,DescriptionTextbox
Descrição,Este relatório lista todos os computadores com software específico instalado. Ele está vinculado a Software 02E - Software instalado em um computador específico.

Header_Table0_ComputerName,Header_Table0_ComputerManufacturer,Header_Table0_ComputerModel,Header_Table0_ProductName,Header_Table0_ProductID,Header_Table0_DSLID,Header_Table0_InstallationType,Details_Table0_ComputerName,Details_Table0_ComputerManufacturer,Details_Table0_ComputerModel,Details_Table0_ProductName,Details_Table0_ProductID,Details_Table0_DSLID,Details_Table0_InstallationType
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTMA017412,LENOVO,5474G4P,Microsoft Office Professional Plus 2010,82503-018-0000106-48572,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTMA024128,LENOVO,3569Q6P,Microsoft Office Professional Plus 2010,82503-018-0000106-48773,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTMA024193,LENOVO,3569Q6P,Microsoft Office Professional Plus 2010,02260-018-0000106-48662,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTMA024222,LENOVO,3569Q6P,Microsoft Office Professional Plus 2010,82503-018-0000106-48058,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTMA024358,LENOVO,3569Q6P,Microsoft Office Professional Plus 2010,02260-556-1720202-48412,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTMA024476,LENOVO,2124AAP,Microsoft Office Professional Plus 2010,82503-018-0000106-48508,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTMA024984,LENOVO,3569QCP,Microsoft Office Professional Plus 2010,02260-018-0000106-48662,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,MALSERVER44,"VMware, Inc.",VMware Virtual Platform,Microsoft Office Professional Plus 2010,82503-018-0000106-48932,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBKE019627,LENOVO,057938P,Microsoft Office Professional Plus 2010,02260-018-0000106-48080,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBKE022483,LENOVO,3254TMP,Microsoft Office Professional Plus 2010,02260-018-0000106-48226,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBMA016715,LENOVO,32549BP,Microsoft Office Professional Plus 2010,82503-018-0000106-48542,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBMA016734E,LENOVO,3254E4P,Microsoft Office Professional Plus 2010,02260-018-0000106-48065,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBMA016748E,LENOVO,3254E4P,Microsoft Office Professional Plus 2010,82503-018-0000106-48542,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBMA018369,"VMware, Inc.",VMware Virtual Platform,Microsoft Office Professional Plus 2010,02260-018-0000106-48729,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBMA019628,LENOVO,057938P,Microsoft Office Professional Plus 2010,02260-018-0000106-48817,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBMA020390,LENOVO,3254H4P,Microsoft Office Professional Plus 2010,02260-018-0000106-48542,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBMA024802,LENOVO,3254H4P,Microsoft Office Professional Plus 2010,02260-018-0000106-48542,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBMA024814,LENOVO,3254H4P,Microsoft Office Professional Plus 2010,02260-018-0000106-48005,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBMA024825,LENOVO,627189P,Microsoft Office Professional Plus 2010,82503-018-0000106-48542,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,PEA3440,LENOVO,3569Q6P,Microsoft Office Professional Plus 2010,82503-018-0000106-48379,,Fisicamente instalado

