DescriptionLabelTextbox,DescriptionTextbox
Descrição,Este relatório lista todos os computadores com software específico instalado. Ele está vinculado a Software 02E - Software instalado em um computador específico.

Header_Table0_ComputerName,Header_Table0_ComputerManufacturer,Header_Table0_ComputerModel,Header_Table0_ProductName,Header_Table0_ProductID,Header_Table0_DSLID,Header_Table0_InstallationType,Details_Table0_ComputerName,Details_Table0_ComputerManufacturer,Details_Table0_ComputerModel,Details_Table0_ProductName,Details_Table0_ProductID,Details_Table0_DSLID,Details_Table0_InstallationType
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DMTA023587,LENOVO,3569Q6P,Microsoft Office Standard 2010,02278-001-0000106-38479,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DMTA024201,LENOVO,3569Q6P,Microsoft Office Standard 2010,02278-001-0000106-38479,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT008277,LENOVO,9481AW9,Microsoft Office Standard 2010,02278-001-0000106-38196,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTKE024100,LENOVO,3569Q6P,Microsoft Office Standard 2010,02278-619-1215156-38762,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTKE024179,LENOVO,3569Q6P,Microsoft Office Standard 2010,82503-619-1215156-38276,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTMA008270,LENOVO,9481AW9,Microsoft Office Standard 2010,82503-001-0000106-38107,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTMA017420,LENOVO,3569Q6P,Microsoft Office Standard 2010,02278-619-1215156-38403,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTMA018018,LENOVO,5474G4P,Microsoft Office Standard 2010,02278-001-0000106-38736,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTMA018019,LENOVO,5474G4P,Microsoft Office Standard 2010,82503-001-0000106-38679,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTMA020387,LENOVO,3254H4P,Microsoft Office Standard 2010,02278-001-0000106-38125,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTMA023585,LENOVO,3569Q6P,Microsoft Office Standard 2010,82503-001-0000106-38504,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTMA023963,LENOVO,3569Q6P,Microsoft Office Standard 2010,02278-001-0000106-38320,,Fisicamente instalado
