DescriptionLabelTextbox,DescriptionTextbox
Descrição,Este relatório lista todos os computadores com software específico instalado. Ele está vinculado a Software 02E - Software instalado em um computador específico.

Header_Table0_ComputerName,Header_Table0_ComputerManufacturer,Header_Table0_ComputerModel,Header_Table0_ProductName,Header_Table0_ProductID,Header_Table0_DSLID,Header_Table0_InstallationType,Details_Table0_ComputerName,Details_Table0_ComputerManufacturer,Details_Table0_ComputerModel,Details_Table0_ProductName,Details_Table0_ProductID,Details_Table0_DSLID,Details_Table0_InstallationType
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DMTA024201,LENOVO,3569Q6P,Microsoft Visual Studio 2010 Professional - ENU,01018-532-2002181-70706,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTMA023584,LENOVO,3569Q6P,Microsoft Visual Studio 2010 Professional - ENU,,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTMA023585,LENOVO,3569Q6P,Microsoft Visual Studio 2010 Professional - ENU,01018-532-2002181-70222,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTMA023586,LENOVO,3569Q6P,Microsoft Visual Studio 2010 Professional - ENU,01018-532-2002181-70222,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTMA023589,LENOVO,3569Q6P,Microsoft Visual Studio 2010 Professional - ENU,01018-532-2002181-70507,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTMA023594,LENOVO,3569Q6P,Microsoft Visual Studio 2010 Professional - ENU,01018-532-2002181-70147,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTMA023975,LENOVO,3569Q6P,Microsoft Visual Studio 2010 Professional - ENU,01018-532-2002181-70222,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTMA023996,LENOVO,3569Q6P,Microsoft Visual Studio 2010 Professional - ENU,01018-532-2002181-70222,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTMA024054,LENOVO,3569Q6P,Microsoft Visual Studio 2010 Professional - ENU,01018-532-2002181-70222,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTMA024056,LENOVO,3569Q6P,Microsoft Visual Studio 2010 Professional - ENU,01018-532-2002181-70222,,Fisicamente instalado
