DescriptionLabelTextbox,DescriptionTextbox
Descrição,Este relatório lista todos os computadores com software específico instalado. Ele está vinculado a Software 02E - Software instalado em um computador específico.

Header_Table0_ComputerName,Header_Table0_ComputerManufacturer,Header_Table0_ComputerModel,Header_Table0_ProductName,Header_Table0_ProductID,Header_Table0_DSLID,Header_Table0_InstallationType,Details_Table0_ComputerName,Details_Table0_ComputerManufacturer,Details_Table0_ComputerModel,Details_Table0_ProductName,Details_Table0_ProductID,Details_Table0_DSLID,Details_Table0_InstallationType
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTMA023578,LENOVO,3569Q6P,Microsoft Visual Studio Professional 2012 - ENU,,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTMA023585,LENOVO,3569Q6P,Microsoft Visual Studio Professional 2012 - ENU,,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTMA023586,LENOVO,3569Q6P,Microsoft Visual Studio Professional 2012 - ENU,,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTMA023968,LENOVO,3569Q6P,Microsoft Visual Studio Professional 2012 - ENU,,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTMA023974,LENOVO,3569Q6P,Microsoft Visual Studio Professional 2012 - ENU,,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTMA023975,LENOVO,3569Q6P,Microsoft Visual Studio Professional 2012 - ENU,,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTMA023994,LENOVO,3569Q6P,Microsoft Visual Studio Professional 2012 - ENU,,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTMA023996,LENOVO,3569Q6P,Microsoft Visual Studio Professional 2012 - ENU,,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTMA024054,LENOVO,3569Q6P,Microsoft Visual Studio Professional 2012 - ENU,,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTMA024056,LENOVO,3569Q6P,Microsoft Visual Studio Professional 2012 - ENU,,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTMA024089,LENOVO,3569Q6P,Microsoft Visual Studio Professional 2012 - ENU,,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTMA024103,LENOVO,3569Q6P,Microsoft Visual Studio Professional 2012 - ENU,,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTMA024117,LENOVO,3569Q6P,Microsoft Visual Studio Professional 2012 - ENU,,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTMA024118,LENOVO,3569Q6P,Microsoft Visual Studio Professional 2012 - ENU,,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTMA024119,LENOVO,3569Q6P,Microsoft Visual Studio Professional 2012 - ENU,,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTMA024122,LENOVO,3569Q6P,Microsoft Visual Studio Professional 2012 - ENU,,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTMA024126,LENOVO,3569Q6P,Microsoft Visual Studio Professional 2012 - ENU,,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTMA024150,LENOVO,3569Q6P,Microsoft Visual Studio Professional 2012 - ENU,,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTMA024160,LENOVO,3569Q6P,Microsoft Visual Studio Professional 2012 - ENU,,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTMA024178,LENOVO,3569Q6P,Microsoft Visual Studio Professional 2012 - ENU,,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTMA024189,LENOVO,3569Q6P,Microsoft Visual Studio Professional 2012 - ENU,,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTMA024192,LENOVO,3569Q6P,Microsoft Visual Studio Professional 2012 - ENU,,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTMA024195,LENOVO,3569Q6P,Microsoft Visual Studio Professional 2012 - ENU,,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTMA024197,LENOVO,3569Q6P,Microsoft Visual Studio Professional 2012 - ENU,,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTMA024206,LENOVO,3569Q6P,Microsoft Visual Studio Professional 2012 - ENU,,,Fisicamente instalado
