DescriptionLabelTextbox,DescriptionTextbox
Descrição,Este relatório lista todos os computadores com software específico instalado. Ele está vinculado a Software 02E - Software instalado em um computador específico.

Header_Table0_ComputerName,Header_Table0_ComputerManufacturer,Header_Table0_ComputerModel,Header_Table0_ProductName,Header_Table0_ProductID,Header_Table0_DSLID,Header_Table0_InstallationType,Details_Table0_ComputerName,Details_Table0_ComputerManufacturer,Details_Table0_ComputerModel,Details_Table0_ProductName,Details_Table0_ProductID,Details_Table0_DSLID,Details_Table0_InstallationType
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,BRQ022268,LENOVO,3569A8P,Microsoft Office Professional Plus 2010,82503-493-0072964-48778,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,BRQDT017706E,LENOVO,3569Q6P,Microsoft Office Professional Plus 2010,82503-493-0072964-48981,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,BRQNB018200E,LENOVO,32549BP,Microsoft Office Professional Plus 2010,82503-493-0072964-48342,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT011304,LENOVO,IPM31,Microsoft Office Professional Plus 2010,02260-018-0000106-48903,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT017671E,LENOVO,3569A8P,Microsoft Office Professional Plus 2010,02260-493-0072964-48075,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT017677E,LENOVO,3569A8P,Microsoft Office Professional Plus 2010,82503-493-0072964-48914,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT017682E,LENOVO,3569A8P,Microsoft Office Professional Plus 2010,02260-018-0000106-48424,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT017683,LENOVO,3569A8P,Microsoft Office Professional Plus 2010,02260-018-0000106-48391,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT017697E,LENOVO,3569PPP,Microsoft Office Professional Plus 2010,82503-493-0072964-48979,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT017705E,LENOVO,3569Q6P,Microsoft Office Professional Plus 2010,02260-018-0000106-48946,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT018030E,LENOVO,3569PPP,Microsoft Office Professional Plus 2010,82503-493-0072964-48878,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT018031E,LENOVO,3569PPP,Microsoft Office Professional Plus 2010,82503-493-0072964-48614,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT021038,LENOVO,3569A8P,Microsoft Office Professional Plus 2010,82503-493-0072964-48538,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT021039,LENOVO,3569A8P,Microsoft Office Professional Plus 2010,82503-018-0000106-48649,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT021040,LENOVO,3569A8P,Microsoft Office Professional Plus 2010,02260-493-0072964-48535,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT022253,LENOVO,3569A8P,Microsoft Office Professional Plus 2010,02260-018-0000106-48183,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT022254,LENOVO,3569A8P,Microsoft Office Professional Plus 2010,02260-018-0000106-48036,,Fisicamente instalado
