DescriptionLabelTextbox,DescriptionTextbox
Descrição,Este relatório lista todos os computadores com software específico instalado. Ele está vinculado a Software 02E - Software instalado em um computador específico.

Header_Table0_ComputerName,Header_Table0_ComputerManufacturer,Header_Table0_ComputerModel,Header_Table0_ProductName,Header_Table0_ProductID,Header_Table0_DSLID,Header_Table0_InstallationType,Details_Table0_ComputerName,Details_Table0_ComputerManufacturer,Details_Table0_ComputerModel,Details_Table0_ProductName,Details_Table0_ProductID,Details_Table0_DSLID,Details_Table0_InstallationType
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT011304,LENOVO,IPM31,Microsoft Office Project Professional 2010,02253-001-0000205-49119,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT017708E,LENOVO,3569Q6P,Microsoft Office Project Professional 2010,82503-001-0000205-49560,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT018034E,LENOVO,3569A8P,Microsoft Office Project Professional 2010,02253-001-0000205-49272,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB010824,Hewlett-Packard,Compaq 510 Notebook PC,Microsoft Office Project Professional 2010,02253-001-0000205-49645,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB018052E,Hewlett-Packard,HP Pavilion dm4 Notebook PC,Microsoft Office Project Professional 2010,02253-001-0000205-49539,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB018163E,LENOVO,3254E4P,Microsoft Office Project Professional 2010,02253-001-0000205-49733,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB023654,LENOVO,3254H4P,Microsoft Office Project Professional 2010,82503-001-0000205-49483,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB023656,LENOVO,3254H4P,Microsoft Office Project Professional 2010,82503-001-0000205-49795,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB023664,LENOVO,3254H4P,Microsoft Office Project Professional 2010,82503-001-0000205-49155,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB023682,LENOVO,3254H4P,Microsoft Office Project Professional 2010,02253-346-1716535-49538,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,PPSERVER19,"VMware, Inc.",VMware Virtual Platform,Microsoft Office Project Professional 2010,02253-346-1716535-49631,,Fisicamente instalado

