DescriptionLabelTextbox,DescriptionTextbox
Descrição,Este relatório lista todos os computadores com software específico instalado. Ele está vinculado a Software 02E - Software instalado em um computador específico.

Header_Table0_ComputerName,Header_Table0_ComputerManufacturer,Header_Table0_ComputerModel,Header_Table0_ProductName,Header_Table0_ProductID,Header_Table0_DSLID,Header_Table0_InstallationType,Details_Table0_ComputerName,Details_Table0_ComputerManufacturer,Details_Table0_ComputerModel,Details_Table0_ProductName,Details_Table0_ProductID,Details_Table0_DSLID,Details_Table0_InstallationType
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT006104,ATI___,AWRDACPI,Microsoft Office Professional Plus 2010,82503-018-0000106-48621,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT022569311,INTEL_,D865GLC_,Microsoft Office Professional Plus 2010,82503-493-0072964-48921,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTRJ008128,LENOVO,9481AW9,Microsoft Office Professional Plus 2010,02260-556-1720202-48196,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTRJ008152,LENOVO,9481AW9,Microsoft Office Professional Plus 2010,82503-018-0000106-48038,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTRJ008154,LENOVO,Invalid,Microsoft Office Professional Plus 2010,02260-556-1720202-48266,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTRJ013368,INTEL,DG31PR,Microsoft Office Professional Plus 2010,82503-493-0072964-48020,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTRJ013725,LENOVO,7848,Microsoft Office Professional Plus 2010,82503-556-1720202-48839,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTRJ013733,LENOVO,7848,Microsoft Office Professional Plus 2010,82503-018-0000106-48387,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTRJ015856,LENOVO,7848,Microsoft Office Professional Plus 2010,02260-556-1720202-48052,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTRJ015866,LENOVO,IPM31,Microsoft Office Professional Plus 2010,02260-018-0000106-48557,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTRJ015882,LENOVO,IPM31,Microsoft Office Professional Plus 2010,02260-556-1720202-48422,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTRJ016759,LENOVO,7099A5P,Microsoft Office Professional Plus 2010,02260-493-0072964-48534,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTRJ017802E,LENOVO,3569A8P,Microsoft Office Professional Plus 2010,02260-556-1720202-48082,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTRJ017809E,LENOVO,3569A8P,Microsoft Office Professional Plus 2010,02260-018-0000106-48388,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTRJ020752,,,Microsoft Office Professional Plus 2010,82503-493-0072964-48306,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTRJ020756,LENOVO,7567S4P,Microsoft Office Professional Plus 2010,02260-556-1720202-48550,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB014554,Hewlett-Packard,Compaq 510,Microsoft Office Professional Plus 2010,82503-493-0072964-48805,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB016364,LENOVO,0913,Microsoft Office Professional Plus 2010,82503-493-0072964-48316,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB016946,LENOVO,0913,Microsoft Office Professional Plus 2010,02260-556-1720202-48695,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB016948,LENOVO,0913,Microsoft Office Professional Plus 2010,02260-018-0000106-48716,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB016949,LENOVO,0913,Microsoft Office Professional Plus 2010,02260-493-0072964-48393,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB016954,LENOVO,0913,Microsoft Office Professional Plus 2010,02260-018-0000106-48327,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB017063,LENOVO,0913,Microsoft Office Professional Plus 2010,82503-018-0000106-48978,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB017064,LENOVO,0913,Microsoft Office Professional Plus 2010,82503-018-0000106-48984,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB017870,Hewlett-Packard,HP 430 Notebook PC,Microsoft Office Professional Plus 2010,02260-493-0072964-48361,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB017872,Hewlett-Packard,HP 430 Notebook PC,Microsoft Office Professional Plus 2010,02260-018-0000106-48210,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB017873,Hewlett-Packard,HP 430 Notebook PC,Microsoft Office Professional Plus 2010,82503-493-0072964-48035,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB018055,LENOVO,4178C9U,Microsoft Office Professional Plus 2010,02260-018-0000106-48604,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB018056,LENOVO,4178C9U,Microsoft Office Professional Plus 2010,02260-018-0000106-48675,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB018071,LENOVO,0913,Microsoft Office Professional Plus 2010,82503-493-0072964-48368,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB018085,Hewlett-Packard,HP Pavilion dm4 Notebook PC,Microsoft Office Professional Plus 2010,82503-493-0072964-48185,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB022480,LENOVO,3254H4P,Microsoft Office Professional Plus 2010,82503-018-0000106-48702,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB16959,LENOVO,0913,Microsoft Office Professional Plus 2010,02260-018-0000106-48763,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ013489,Hewlett-Packard,HP ProBook 4320s,Microsoft Office Professional Plus 2010,02260-556-1720202-48728,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ016263,LENOVO,INVALID,Microsoft Office Professional Plus 2010,02260-493-0072964-48251,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ016352,LENOVO,0913,Microsoft Office Professional Plus 2010,02260-018-0000106-48508,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ016355,LENOVO,0913,Microsoft Office Professional Plus 2010,02260-556-1720202-48134,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ016356,LENOVO,0913,Microsoft Office Professional Plus 2010,82503-493-0072964-48304,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ016357,LENOVO,0913,Microsoft Office Professional Plus 2010,02260-018-0000106-48982,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ016368,LENOVO,0913,Microsoft Office Professional Plus 2010,02260-018-0000106-48222,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ016370,LENOVO,0913,Microsoft Office Professional Plus 2010,82503-493-0072964-48817,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ016714E,LENOVO,32549BP,Microsoft Office Professional Plus 2010,02260-018-0000106-48781,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ016914,LENOVO,0913,Microsoft Office Professional Plus 2010,02260-018-0000106-48177,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ016940,LENOVO,0913,Microsoft Office Professional Plus 2010,02260-018-0000106-48218,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ016942,LENOVO,0913,Microsoft Office Professional Plus 2010,02260-556-1720202-48189,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ016960,LENOVO,0913,Microsoft Office Professional Plus 2010,02260-018-0000106-48586,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ016961,LENOVO,0913,Microsoft Office Professional Plus 2010,82503-018-0000106-48255,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ017658E,LENOVO,32549BP,Microsoft Office Professional Plus 2010,02260-018-0000106-48200,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ017660,LENOVO,32549BP,Microsoft Office Professional Plus 2010,02260-018-0000106-48814,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ017663E,LENOVO,32549BP,Microsoft Office Professional Plus 2010,02260-018-0000106-48806,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ017665E,LENOVO,32549BP,Microsoft Office Professional Plus 2010,02260-018-0000106-48337,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ017666E,LENOVO,0913,Microsoft Office Professional Plus 2010,02260-018-0000106-48354,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ017875,Hewlett-Packard,HP 430 Notebook PC,Microsoft Office Professional Plus 2010,02260-556-1720202-48164,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ018061,Hewlett-Packard,HP G42 Notebook PC,Microsoft Office Professional Plus 2010,02260-556-1720202-48359,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ018077,LENOVO,0913,Microsoft Office Professional Plus 2010,02260-556-1720202-48798,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ018083,LENOVO,0913,Microsoft Office Professional Plus 2010,02260-556-1720202-48484,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ018376,Hewlett-Packard,HP ProBook 4320s,Microsoft Office Professional Plus 2010,02260-493-0072964-48920,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ019574,LENOVO,20041,Microsoft Office Professional Plus 2010,02260-018-0000106-48192,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ019629,LENOVO,057938P,Microsoft Office Professional Plus 2010,82503-493-0072964-48762,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ019633,LENOVO,057938P,Microsoft Office Professional Plus 2010,02260-018-0000106-48062,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ019637,LENOVO,057938P,Microsoft Office Professional Plus 2010,02260-018-0000106-48910,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ019638,LENOVO,057938P,Microsoft Office Professional Plus 2010,02260-018-0000106-48991,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ019649,LENOVO,12912TU,Microsoft Office Professional Plus 2010,02260-556-1720202-48776,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ019682J,LENOVO,1141EJP,Microsoft Office Professional Plus 2010,02260-018-0000106-48848,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ019686,LENOVO,1141EJP,Microsoft Office Professional Plus 2010,02260-018-0000106-48483,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ019691,LENOVO,1141EJP,Microsoft Office Professional Plus 2010,82503-493-0072964-48370,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ022004,LENOVO,3254H4P,Microsoft Office Professional Plus 2010,02260-018-0000106-48078,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ022479,LENOVO,3254H4P,Microsoft Office Professional Plus 2010,82503-493-0072964-48985,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ022490,LENOVO,3254TMP,Microsoft Office Professional Plus 2010,02260-493-0072964-48154,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ024756,Hewlett-Packard,HP EliteBook 8460p,Microsoft Office Professional Plus 2010,02260-556-1720202-48233,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ024836,LENOVO,3254H4P,Microsoft Office Professional Plus 2010,02260-018-0000106-48056,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ024837,LENOVO,3254H4P,Microsoft Office Professional Plus 2010,02260-018-0000106-48314,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ024838,LENOVO,3254H4P,Microsoft Office Professional Plus 2010,82503-493-0072964-48473,,Fisicamente instalado

