DescriptionLabelTextbox,DescriptionTextbox
Descrição,Este relatório lista todos os computadores com software específico instalado. Ele está vinculado a Software 02E - Software instalado em um computador específico.

Header_Table0_ComputerName,Header_Table0_ComputerManufacturer,Header_Table0_ComputerModel,Header_Table0_ProductName,Header_Table0_ProductID,Header_Table0_DSLID,Header_Table0_InstallationType,Details_Table0_ComputerName,Details_Table0_ComputerManufacturer,Details_Table0_ComputerModel,Details_Table0_ProductName,Details_Table0_ProductID,Details_Table0_DSLID,Details_Table0_InstallationType
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTRJ016365,LENOVO,0913,Microsoft Office Project Standard 2010,02256-493-1213133-49040,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTRJ017802E,LENOVO,3569A8P,Microsoft Office Project Standard 2010,02256-493-1213133-49946,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB016364,LENOVO,0913,Microsoft Office Project Standard 2010,02256-493-1213133-49377,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB017063,LENOVO,0913,Microsoft Office Project Standard 2010,02256-493-1213133-49717,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB017873,Hewlett-Packard,HP 430 Notebook PC,Microsoft Office Project Standard 2010,82503-493-1213133-49446,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ016357,LENOVO,0913,Microsoft Office Project Standard 2010,02256-493-1213133-49210,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ016370,LENOVO,0913,Microsoft Office Project Standard 2010,02256-493-1213133-49218,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ019580,LENOVO,440128P,Microsoft Office Project Standard 2010,02256-493-1213133-49720,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ019686,LENOVO,1141EJP,Microsoft Office Project Standard 2010,02256-493-1213133-49155,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ022477,LENOVO,3254H4P,Microsoft Office Project Standard 2010,02256-493-1213133-49703,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ022490,LENOVO,3254TMP,Microsoft Office Project Standard 2010,02256-493-1213133-49816,,Fisicamente instalado

