DescriptionLabelTextbox,DescriptionTextbox
Descrição,Este relatório lista todos os computadores com software específico instalado. Ele está vinculado a Software 02E - Software instalado em um computador específico.

Header_Table0_ComputerName,Header_Table0_ComputerManufacturer,Header_Table0_ComputerModel,Header_Table0_ProductName,Header_Table0_ProductID,Header_Table0_DSLID,Header_Table0_InstallationType,Details_Table0_ComputerName,Details_Table0_ComputerManufacturer,Details_Table0_ComputerModel,Details_Table0_ProductName,Details_Table0_ProductID,Details_Table0_DSLID,Details_Table0_InstallationType
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT008148,LENOVO,Invalid,Microsoft Office Standard 2010,02278-619-1215156-38736,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT008157,LENOVO,9481AW9,Microsoft Office Standard 2010,02278-619-1215156-38878,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT008159,LENOVO,9481AW9,Microsoft Office Standard 2010,02278-619-1215156-38803,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT008160,LENOVO,9481AW9,Microsoft Office Standard 2010,02278-619-1215156-38017,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT016782,LENOVO,7099A5P,Microsoft Office Standard 2010,02278-619-1215156-38361,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT017414,LENOVO,5474G4P,Microsoft Office Standard 2010,02278-619-1215156-38428,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DT022569311,INTEL_,D865GLC_,Microsoft Office Standard 2010,02278-619-1215156-38547,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTRJ0021278,LENOVO,3569PPP,Microsoft Office Standard 2010,02278-619-1215156-38619,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTRJ008110,LENOVO,9481AW9,Microsoft Office Standard 2010,02278-619-1215156-38141,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTRJ008128,LENOVO,9481AW9,Microsoft Office Standard 2010,02278-619-1215156-38564,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTRJ008132,LENOVO,Invalid,Microsoft Office Standard 2010,02278-619-1215156-38404,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTRJ008136,LENOVO,9481AW9,Microsoft Office Standard 2010,02278-619-1215156-38528,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTRJ008138,LENOVO,9481AW9,Microsoft Office Standard 2010,02278-619-1215156-38581,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTRJ008162,LENOVO,9481AW9,Microsoft Office Standard 2010,02278-619-1215156-38222,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTRJ008163,LENOVO,9481AW9,Microsoft Office Standard 2010,02278-619-1215156-38028,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTRJ012767,LENOVO,7848d1p,Microsoft Office Standard 2010,02278-619-1215156-38235,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTRJ012772,LENOVO,7848d1p,Microsoft Office Standard 2010,02278-619-1215156-38766,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTRJ013368,INTEL,DG31PR,Microsoft Office Standard 2010,02278-619-1215156-38771,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTRJ013722,LENOVO,7848,Microsoft Office Standard 2010,02278-619-1215156-38028,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTRJ013727,LENOVO,IPM31,Microsoft Office Standard 2010,02278-619-1215156-38003,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTRJ013728,LENOVO,7848,Microsoft Office Standard 2010,02278-619-1215156-38629,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTRJ013729,LENOVO,7848,Microsoft Office Standard 2010,02278-619-1215156-38211,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTRJ013732,LENOVO,7848,Microsoft Office Standard 2010,02278-619-1215156-38817,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTRJ013734,LENOVO,IPM31,Microsoft Office Standard 2010,02278-619-1215156-38831,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTRJ013738,LENOVO,7848,Microsoft Office Standard 2010,02278-619-1215156-38312,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTRJ013740,LENOVO,7848,Microsoft Office Standard 2010,02278-619-1215156-38018,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTRJ015201,LENOVO,7848,Microsoft Office Standard 2010,02278-619-1215156-38846,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTRJ015854,LENOVO,IPM31,Microsoft Office Standard 2010,02278-619-1215156-38299,,Fisicamente instalado
