DescriptionLabelTextbox,DescriptionTextbox
Descrição,Este relatório lista todos os computadores com software específico instalado. Ele está vinculado a Software 02E - Software instalado em um computador específico.

Header_Table0_ComputerName,Header_Table0_ComputerManufacturer,Header_Table0_ComputerModel,Header_Table0_ProductName,Header_Table0_ProductID,Header_Table0_DSLID,Header_Table0_InstallationType,Details_Table0_ComputerName,Details_Table0_ComputerManufacturer,Details_Table0_ComputerModel,Details_Table0_ProductName,Details_Table0_ProductID,Details_Table0_DSLID,Details_Table0_InstallationType
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTRJ008128,LENOVO,9481AW9,Microsoft Office Visio 2010,02292-775-1204597-69754,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTRJ008136,LENOVO,9481AW9,Microsoft Office Visio 2010,02292-775-1204597-69711,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTRJ013734,LENOVO,IPM31,Microsoft Office Visio 2010,02290-575-0072964-69684,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTRJ015871,LENOVO,7848,Microsoft Office Visio 2010,02292-775-1204597-69449,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTRJ024400,LENOVO,2124AAP,Microsoft Office Visio 2010,02292-775-1204597-69691,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB017063,LENOVO,0913,Microsoft Office Visio 2010,02292-775-1204597-69767,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB018071,LENOVO,0913,Microsoft Office Visio 2010,02290-575-0072964-69769,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ015760,Hewlett-Packard,HP 420,Microsoft Office Visio 2010,02290-575-0072964-69994,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ016356,LENOVO,0913,Microsoft Office Visio 2010,02292-775-1204597-69754,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ016357,LENOVO,0913,Microsoft Office Visio 2010,02292-775-1204597-69149,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ017861,Hewlett-Packard,HP 430 Notebook PC,Microsoft Office Visio 2010,02290-575-0072964-69579,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ018070,LENOVO,0913,Microsoft Office Visio 2010,02292-775-1204597-69244,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ019629,LENOVO,057938P,Microsoft Office Visio 2010,02290-575-0072964-69605,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ019633,LENOVO,057938P,Microsoft Office Visio 2010,02290-575-0072964-69867,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ024838,LENOVO,3254H4P,Microsoft Office Visio 2010,82503-575-0072964-69575,,Fisicamente instalado

