DescriptionLabelTextbox,DescriptionTextbox
Descrição,Este relatório lista todos os computadores com software específico instalado. Ele está vinculado a Software 02E - Software instalado em um computador específico.

Header_Table0_ComputerName,Header_Table0_ComputerManufacturer,Header_Table0_ComputerModel,Header_Table0_ProductName,Header_Table0_ProductID,Header_Table0_DSLID,Header_Table0_InstallationType,Details_Table0_ComputerName,Details_Table0_ComputerManufacturer,Details_Table0_ComputerModel,Details_Table0_ProductName,Details_Table0_ProductID,Details_Table0_DSLID,Details_Table0_InstallationType
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTRJ008128,LENOVO,9481AW9,Microsoft Office Project Professional 2010,82503-525-0072964-49649,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTRJ013734,LENOVO,IPM31,Microsoft Office Project Professional 2010,02253-525-0072964-49197,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTRJ017044,LENOVO,5474G4P,Microsoft Office Project Professional 2010,02253-525-0072964-49966,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTRJ024400,LENOVO,2124AAP,Microsoft Office Project Professional 2010,02253-525-0072964-49458,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTRJ024845,LENOVO,3569Q6P,Microsoft Office Project Professional 2010,82503-525-0072964-49400,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,DTRJ025889,LENOVO,10BD008GBP,Microsoft Office Project Professional 2010,02253-525-0072964-49176,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB016948,LENOVO,0913,Microsoft Office Project Professional 2010,02253-346-1716535-49737,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB016951,LENOVO,0913,Microsoft Office Project Professional 2010,02253-525-0072964-49222,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB018055,LENOVO,4178C9U,Microsoft Office Project Professional 2010,02253-001-0000205-49453,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NB018071,LENOVO,0913,Microsoft Office Project Professional 2010,02253-346-1716535-49010,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ013489,Hewlett-Packard,HP ProBook 4320s,Microsoft Office Project Professional 2010,82503-525-0072964-49647,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ016263,LENOVO,INVALID,Microsoft Office Project Professional 2010,02253-346-1716535-49021,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ016352,LENOVO,0913,Microsoft Office Project Professional 2010,02253-525-0072964-49896,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ016356,LENOVO,0913,Microsoft Office Project Professional 2010,02253-525-0072964-49481,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ016961,LENOVO,0913,Microsoft Office Project Professional 2010,02253-525-0072964-49477,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ017660,LENOVO,32549BP,Microsoft Office Project Professional 2010,82503-525-0072964-49325,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ017666E,LENOVO,0913,Microsoft Office Project Professional 2010,82503-525-0072964-49379,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ017861,Hewlett-Packard,HP 430 Notebook PC,Microsoft Office Project Professional 2010,02253-525-0072964-49661,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ018083,LENOVO,0913,Microsoft Office Project Professional 2010,02253-525-0072964-49847,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ018376,Hewlett-Packard,HP ProBook 4320s,Microsoft Office Project Professional 2010,02253-525-0072964-49232,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ019568,LENOVO,20041,Microsoft Office Project Professional 2010,02253-525-0072964-49079,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ019629,LENOVO,057938P,Microsoft Office Project Professional 2010,02253-525-0072964-49500,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ019630,LENOVO,057938P,Microsoft Office Project Professional 2010,02253-525-0072964-49207,,Fisicamente instalado
Nome do Computador,Fabricante do computador,Modelo do Computador,Nome do Produto,ID de Produto,ID DSL,Tipo de Instalação,NBRJ019633,LENOVO,057938P,Microsoft Office Project Professional 2010,02253-001-0000205-49593,,Fisicamente instalado
