10.2.42.110,AMS138
10.2.45.185,DT007056
10.2.42.88,DT008811
10.2.45.36,DT009452
10.2.42.245,DT009453
10.2.42.153,DT012076
10.2.42.125,DT012394
10.2.44.63,DT012496
10.2.42.85,DT012499
10.2.43.228,DT013081
10.2.43.53,DT013145
10.2.44.253,DT014414
10.2.45.183,DT014544
10.2.42.83,DT014589
10.2.43.82,DT014597
10.2.43.240,DT014651
10.2.43.159,DT015819
10.2.44.196,DT015902
10.2.43.81,DT015905
10.2.43.37,DT016269
10.2.43.245,DT017101
10.2.44.54,DT017116
10.2.44.93,DT017127
10.2.42.64,DT017557
10.2.45.86,DT017739
10.2.43.72,DT018005E
10.2.42.100,DT018292
10.2.44.254,DT018387
10.2.42.106,DT018394
10.2.43.179,DT018399
10.2.43.180,DT018404
10.2.44.160,DT018407
10.2.42.42,DT14584
10.2.43.131,NB015704
10.2.45.201,NB015706
10.2.42.111,NB015959
10.2.42.133,NB016241
10.2.42.182,NB016585E
10.2.42.143,NB016593
10.2.45.38,NB016599E
10.2.44.75,NB016616
10.2.45.230,NB016664
10.2.45.6,NB016675E
10.2.43.242,NB017068
10.2.45.253,NB017094
10.2.42.19,NB017260
10.2.44.39,NB017262
10.2.44.143,NB017267
10.2.42.59,NB017521
10.2.42.7,NB018130
10.2.44.248,NB019763
10.2.44.31,NB019772
10.2.44.17,NB019786
10.2.45.81,NB020077
10.2.42.217,NB020180
10.2.44.207,NB020192
10.2.43.119,NB021060
10.2.43.193,NB021061
10.2.42.238,NB021066
10.2.42.124,NB022125
10.2.45.92,NB022222
10.2.45.213,NB023718
10.2.43.218,DT012365
10.2.42.221,DT015906
10.2.44.199,DT017547
10.2.43.185,NB017265
10.2.42.190,NB017295
10.2.43.99,NB018370
10.2.42.84,NB022002
10.2.43.203,NB022224
10.2.44.19,NB023711
10.2.43.174,NB023719
10.2.40.210,ALPHASERVER10
10.2.40.215,ALPHASERVER15
10.2.42.55,DT009444E
10.2.42.157,DT012078
10.2.42.187,DT012092
10.2.43.17,DT013061
10.2.42.15,DT013146
