10.2.0.102,Microsoft SQL Server 2012 
10.2.0.103,Microsoft SQL Server 2012 
10.2.0.104,Microsoft Office Visio 2010
10.2.0.104,Microsoft Visio Professional 2010
10.2.0.105,Microsoft SQL Server 
10.2.0.105,Microsoft SQL Server 2008 
10.2.0.105,Microsoft SQL Server 2012 
10.2.0.105,SQL Server 
10.2.0.105,SQL Server 2012 
10.2.0.108,Microsoft Office Professional Plus 2010
10.2.0.108,Microsoft Office Professional Plus 2013
10.2.0.108,Microsoft Office Visio 2010
10.2.0.108,Microsoft Visio Professional 2010
10.2.0.109,Microsoft Office Professional Plus 2013
10.2.0.110,Microsoft SQL Server 2012 
10.2.0.111,Microsoft SQL Server 2012 
10.2.0.112,Microsoft Office Professional Plus 2013
10.2.0.112,Microsoft Office Visio 2010
10.2.0.112,Microsoft Visio Professional 2010
10.2.0.113,Microsoft Office Professional Plus 2013
10.2.0.113,Microsoft Office Standard 2010
10.2.0.114,Microsoft Office Professional Plus 2013
10.2.0.114,Microsoft Office Standard 2010
10.2.0.115,Microsoft Office Professional Plus 2010
10.2.0.115,Microsoft Office Professional Plus 2013
10.2.0.115,Microsoft Office Standard 2010
10.2.0.116,Microsoft Office Professional Plus 2013
10.2.0.116,Microsoft Office Standard 2010
10.2.0.117,Microsoft Office Professional Plus 2010
10.2.0.117,Microsoft Office Professional Plus 2013
10.2.0.117,Microsoft Office Standard 2010
10.2.0.118,Microsoft Office Professional Plus 2013
10.2.0.118,Microsoft Office Standard 2010
10.2.0.119,Microsoft Office Professional Plus 2013
10.2.0.119,Microsoft Office Standard 2010
10.2.0.120,Microsoft Office Professional Plus 2013
10.2.0.120,Microsoft Office Standard 2010
10.2.0.121,Microsoft Office Professional Plus 2013
10.2.0.121,Microsoft Office Standard 2010
10.2.0.122,Microsoft Office Professional Plus 2013
10.2.0.123,Microsoft Office Professional Plus 2013
10.2.0.123,Microsoft Office Standard 2010
10.2.0.124,Microsoft Office Professional Plus 2013
10.2.0.124,Microsoft Office Standard 2010
10.2.0.125,Microsoft Office Professional Plus 2013
10.2.0.126,Microsoft Office Professional Plus 2013
10.2.0.127,Microsoft Office Professional Plus 2013
10.2.0.127,Microsoft Office Standard 2010
10.2.0.128,Microsoft Office Professional Plus 2013
10.2.0.128,Microsoft Office Standard 2010
10.2.0.129,Microsoft Office Professional Plus 2013
10.2.0.133,Microsoft Office Professional Plus 2013
10.2.0.134,Microsoft Office Professional Plus 2013
10.2.0.136,Microsoft Office Professional Plus 2013
10.2.0.140,Microsoft Office Professional Plus 2013
10.2.0.222,Microsoft SQL Server 
10.2.0.222,Microsoft SQL Server 2008 
10.2.0.222,SQL Server 
10.2.0.223,Microsoft SQL Server 
10.2.0.223,Microsoft SQL Server 2008 
10.2.0.223,Microsoft SQL Server 2012 
10.2.0.223,SQL Server 
10.2.0.223,SQL Server 2012 
10.2.0.224,Microsoft SQL Server 
10.2.0.224,Microsoft SQL Server 2008 
10.2.0.224,SQL Server 2008 
10.2.0.78,Microsoft Office Standard 2010
10.2.0.90,Microsoft Office Standard 2010
10.2.0.90,Microsoft SQL Server 
10.2.0.90,Microsoft SQL Server 2008 
10.2.0.90,Microsoft SQL Server 2012 
10.2.0.90,Microsoft Visual Studio Team Foundation Server 2012 
10.2.0.90,SQL Server 
10.2.0.90,SQL Server 2012 
10.2.1.102,Microsoft SQL Server 
10.2.1.102,Microsoft SQL Server 2008 
10.2.1.102,SQL Server 2008 
10.2.1.103,Microsoft Office Standard 2010
10.2.1.104,Microsoft Access database engine 2010
10.2.1.104,Microsoft SQL Server 2008 
10.2.1.104,Microsoft SQL Server 2012 
10.2.1.104,Microsoft SQL Server 2014 
10.2.1.104,SQL Server 
10.2.1.104,SQL Server 2014 
10.2.1.107,Microsoft SQL Server 
10.2.1.107,Microsoft SQL Server 2008 
10.2.1.107,Microsoft SQL Server 2012 
10.2.1.107,Microsoft SQL Server 2014 
10.2.1.107,Microsoft Visual Studio Professional 
10.2.1.107,SQL Server 2008 
10.2.1.12,Microsoft SQL Server 
10.2.1.12,Microsoft SQL Server 2008 
10.2.1.12,SQL Server 2008 
10.2.1.120,Microsoft SQL Server 
10.2.1.120,Microsoft SQL Server 2008 
10.2.1.120,SQL Server 2008 
10.2.1.123,Microsoft Office Professional Plus 2010
10.2.1.124,Microsoft SQL Server 
10.2.1.124,Microsoft SQL Server 2008 
10.2.1.124,SQL Server 2008 
10.2.1.125,Microsoft Office Standard 2013
10.2.1.125,Microsoft SQL Server 
10.2.1.125,Microsoft SQL Server 2008 
10.2.1.125,Microsoft SQL Server 2012 
10.2.1.125,SQL Server 2008 
10.2.1.126,Microsoft Office Professional Plus 2010
10.2.1.126,Microsoft Office Project Professional 2010
10.2.1.126,Microsoft Office Standard 2010
10.2.1.126,Microsoft Project Professional 2010
10.2.1.126,Microsoft SQL Server 
10.2.1.126,Microsoft SQL Server 2008 
10.2.1.126,Microsoft SQL Server 2012 
10.2.1.126,Microsoft Visual Studio Team Foundation Server 2012 
10.2.1.126,SQL Server 
10.2.1.126,SQL Server 2008 
10.2.1.126,SQL Server 2012 
10.2.1.128,Microsoft SQL Server 2000
10.2.1.129,Microsoft SQL Server 
10.2.1.129,Microsoft SQL Server 2008 
10.2.1.129,SQL Server 2008 
10.2.1.133,Microsoft SQL Server 
10.2.1.133,Microsoft SQL Server 2008 
10.2.1.133,SQL Server 2008 
10.2.1.135,Microsoft Office Standard 2010
10.2.1.146,Microsoft Office Standard 2010
10.2.1.149,Microsoft SQL Server 
10.2.1.149,Microsoft SQL Server 2005
10.2.1.188,Microsoft SQL Server 
10.2.1.188,Microsoft SQL Server 2008 
10.2.1.188,SQL Server 2008 
10.2.1.189,Microsoft SQL Server 
10.2.1.189,Microsoft SQL Server 2008 
10.2.1.189,SQL Server 2008 
10.2.1.242,Microsoft Office Standard 2010
10.2.1.242,Microsoft SQL Server 
10.2.1.242,Microsoft SQL Server 2008 
10.2.1.242,Microsoft Visual Studio 2010 Professional 
10.2.1.242,SQL Server 2008 
10.2.1.250,Microsoft SQL Server 2000
10.2.1.51,Microsoft SQL Server 2008 
10.2.1.68,Microsoft SQL Server 
10.2.1.68,Microsoft SQL Server 2008 
10.2.1.68,Microsoft SQL Server 2012 
10.2.1.68,SQL Server 
10.2.1.68,SQL Server 2008 
10.2.1.68,SQL Server 2012 
10.2.1.74,Microsoft Office Standard 2010
10.2.1.87,Microsoft SQL Server 
10.2.1.87,Microsoft SQL Server 2008 
10.2.1.87,Microsoft SQL Server 2012 
10.2.1.87,SQL Server 2008 
10.2.1.93,Microsoft SQL Server 
10.2.1.93,Microsoft SQL Server 2008 
10.2.1.93,SQL Server 2008 
10.2.10.12,Microsoft Office Standard 2010
10.2.10.12,Microsoft SQL Server 
10.2.10.12,Microsoft SQL Server 2008 
10.2.10.12,Microsoft SQL Server 2012 
10.2.10.12,SQL Server 2012 
10.2.10.125,Microsoft Office Standard 2010
10.2.10.125,Microsoft SQL Server 
10.2.10.125,Microsoft SQL Server 2008 
10.2.10.125,Microsoft SQL Server 2012 
10.2.10.125,Microsoft Visual Studio 2010 Professional 
10.2.10.125,SQL Server 2012 
10.2.10.131,Microsoft SQL Server 
10.2.10.131,Microsoft SQL Server 2008 
10.2.10.131,Microsoft SQL Server 2012 
10.2.10.131,Microsoft Visual Studio 2010 Professional 
10.2.10.131,Microsoft Visual Studio Professional 
10.2.10.131,Microsoft Visual Studio Team Foundation Server 2012 
10.2.10.131,Microsoft Visual Studio Ultimate 
10.2.10.134,Microsoft SQL Server 
10.2.10.134,Microsoft SQL Server 2012 
10.2.10.134,Microsoft Visual Studio 2010 Professional 
10.2.10.134,SQL Server 2012 
10.2.10.156,Microsoft SQL Server 
10.2.10.156,Microsoft SQL Server 2008 
10.2.10.156,Microsoft SQL Server 2012 
10.2.10.156,Microsoft Visual Studio 2010 Professional 
10.2.10.156,Microsoft Visual Studio Professional 
10.2.10.156,Microsoft Visual Studio Team Foundation Server 2012 
10.2.10.156,Microsoft Visual Studio Ultimate 
10.2.10.16,Microsoft SQL Server 
10.2.10.16,Microsoft SQL Server 2008 
10.2.10.16,Microsoft SQL Server 2012 
10.2.10.16,Microsoft Visual Studio 2010 Professional 
10.2.10.16,SQL Server 2012 
10.2.10.163,Microsoft SQL Server 
10.2.10.163,Microsoft SQL Server 2008 
10.2.10.163,Microsoft SQL Server 2012 
10.2.10.163,Microsoft Visual Studio 2010 Professional 
10.2.10.163,Microsoft Visual Studio Professional 
10.2.10.163,Microsoft Visual Studio Team Foundation Server 2012 
10.2.10.163,Microsoft Visual Studio Ultimate 
10.2.10.173,Microsoft Office Standard 2010
10.2.10.184,Microsoft SQL Server 
10.2.10.184,Microsoft SQL Server 2008 
10.2.10.184,Microsoft Visual Studio 2010 Ultimate 
10.2.10.190,Microsoft SQL Server 
10.2.10.190,Microsoft SQL Server 2012 
10.2.10.190,Microsoft Visual Studio Professional 
10.2.10.190,Microsoft Visual Studio Team Foundation Server 2012 
10.2.10.190,Microsoft Visual Studio Ultimate 
10.2.10.197,Microsoft Office Standard 2010
10.2.10.208,Microsoft SQL Server 
10.2.10.208,Microsoft SQL Server 2008 
10.2.10.208,Microsoft SQL Server 2012 
10.2.10.208,Microsoft Visual Studio 2010 Professional 
10.2.10.208,Microsoft Visual Studio Professional 
10.2.10.208,Microsoft Visual Studio Team Foundation Server 2012 
10.2.10.208,Microsoft Visual Studio Ultimate 
10.2.10.209,Microsoft Office Project Professional 2010
10.2.10.209,Microsoft Office Standard 2010
10.2.10.209,Microsoft Office Visio 2010
10.2.10.209,Microsoft Project Professional 2010
10.2.10.209,Microsoft Visio Professional 2010
10.2.10.214,Microsoft Office Standard 2010
10.2.10.214,Microsoft SQL Server 
10.2.10.214,Microsoft SQL Server 2008 
10.2.10.214,Microsoft SQL Server 2012 
10.2.10.214,Microsoft Visual Studio 2010 Professional 
10.2.10.214,Microsoft Visual Studio Professional 
10.2.10.214,Microsoft Visual Studio Team Foundation Server 2012 
10.2.10.214,Microsoft Visual Studio Ultimate 
10.2.10.22,Microsoft Office Project Professional 2010
10.2.10.22,Microsoft Office Standard 2010
10.2.10.22,Microsoft Office Visio 2010
10.2.10.22,Microsoft Project Professional 2010
10.2.10.22,Microsoft Visio Professional 2010
10.2.10.228,Microsoft SQL Server 
10.2.10.228,Microsoft SQL Server 2008 
10.2.10.228,Microsoft SQL Server 2012 
10.2.10.228,Microsoft Visual Studio 2010 Professional 
10.2.10.228,SQL Server 2012 
10.2.10.244,Microsoft Office Standard 2010
10.2.10.25,Microsoft SQL Server 2008 
10.2.10.25,Microsoft SQL Server 2012 
10.2.10.25,Microsoft Visual Studio 2010 Professional 
10.2.10.25,SQL Server 2012 
10.2.10.26,Microsoft SQL Server 
10.2.10.26,Microsoft SQL Server 2008 
10.2.10.26,Microsoft SQL Server 2012 
10.2.10.26,Microsoft Visual Studio Professional 
10.2.10.26,Microsoft Visual Studio Team Foundation Server 2012 
