chave,_IP,_CPU,_memoria,_disco,_versaoSO,_site
SRV12302,10.2.0.52,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 1 socket x 2 core x 2 logical proc,4GB,C: 30GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
SRV12386,10.2.0.53,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 1 socket x 2 core x 2 logical proc,4GB,C: 35GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
SPSERVER078,10.2.0.78,CPU :Intel(R) Pentium(R) III processor - 4 socket x  core x  logical proc,6GB,C: 35GB,Microsoft(R) Windows(R) Server 2003, Enterprise Edition,BV
CITRIXPROD100,10.2.0.100,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 1 socket x 4 core x 4 logical proc,4GB,C: 50GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
CITRIXPROD101,10.2.0.101,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 1 socket x 4 core x 4 logical proc,6GB,C: 50GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
CITRIXPROD102,10.2.0.102,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 2 socket x 4 core x 4 logical proc,8GB,C: 100GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
CITRIXPROD103,10.2.0.103,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 2 socket x 4 core x 4 logical proc,8GB,C: 100GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
CITRIXPROD104,10.2.0.104,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 2 socket x 4 core x 4 logical proc,8GB,C: 50GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
CITRIXPROD105,10.2.0.105,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 2 socket x 4 core x 4 logical proc,12GB,C: 70 GB D: 30 GB E: 20 GB G: 40 GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
CITRIXPROD106,10.2.0.106,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 1 socket x 4 core x 4 logical proc,6GB,C: 50GB,Microsoft Windows Server 2012 R2 Datacenter,BV
CITRIXPROD108,10.2.0.108,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 2 socket x 4 core x 4 logical proc,6GB,C: 100GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
CITRIXPROD110,10.2.0.110,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 1 socket x 4 core x 4 logical proc,6GB,C: 50GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
CITRIXPROD111,10.2.0.111,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 1 socket x 4 core x 4 logical proc,6GB,C: 50GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
CITRIXPROD112,10.2.0.112,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 1 socket x 4 core x 4 logical proc,8GB,C: 120GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
CITRIXPRODRM01,10.2.0.113,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 1 socket x 4 core x 4 logical proc,4GB,C: 60GB,Microsoft Windows 7 Professional ,BV
CITRIXPRODRM02,10.2.0.114,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 1 socket x 4 core x 4 logical proc,4GB,C: 70GB,Microsoft Windows 7 Professional ,BV
CITRIXPRODRM03,10.2.0.115,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 1 socket x 4 core x 4 logical proc,4GB,C: 70GB,Microsoft Windows 7 Professional ,BV
CITRIXPRODRM04,10.2.0.116,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 1 socket x 4 core x 4 logical proc,4GB,C: 60GB,Microsoft Windows 7 Professional ,BV
CITRIXPRODRM05,10.2.0.117,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 1 socket x 4 core x 4 logical proc,4GB,C: 60GB,Microsoft Windows 7 Professional ,BV
CITRIXPRODRM06,10.2.0.118,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 1 socket x 4 core x 4 logical proc,4GB,C: 60GB,Microsoft Windows 7 Professional ,BV
CITRIXPRODRM07,10.2.0.119,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 1 socket x 4 core x 4 logical proc,4GB,C: 70GB,Microsoft Windows 7 Professional ,BV
CITRIXPRODRM08,10.2.0.120,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 1 socket x 4 core x 4 logical proc,4GB,C: 60GB,Microsoft Windows 7 Professional ,BV
CITRIXPRODRM09,10.2.0.121,CPU :Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz - 1 socket x 4 core x 4 logical proc,4GB,C: 60GB,Microsoft Windows 7 Professional ,BV
CITRIXPRODRM10,10.2.0.122,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 1 socket x 4 core x 4 logical proc,4GB,C: 60GB,Microsoft Windows 7 Professional ,BV
CITRIXPRODRM11,10.2.0.123,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 1 socket x 4 core x 4 logical proc,4GB,C: 70GB,Microsoft Windows 7 Professional ,BV
CITRIXPRODRM12,10.2.0.124,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 1 socket x 4 core x 4 logical proc,4GB,C: 60GB,Microsoft Windows 7 Professional ,BV
CITRIXPRODRM13,10.2.0.125,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 1 socket x 4 core x 4 logical proc,4GB,C: 70GB,Microsoft Windows 7 Professional ,BV
CITRIXPRODRM14,10.2.0.126,CPU :Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz - 1 socket x 4 core x 4 logical proc,4GB,C: 60GB,Microsoft Windows 7 Professional ,BV
CITRIXPRODRM15,10.2.0.127,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 1 socket x 4 core x 4 logical proc,4GB,C: 70GB,Microsoft Windows 7 Professional ,BV
CITRIXPRODRM16,10.2.0.128,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 1 socket x 4 core x 4 logical proc,4GB,C: 60GB,Microsoft Windows 7 Professional ,BV
CITRIXPRODRM17,10.2.0.129,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 1 socket x 4 core x 4 logical proc,4GB,C: 70GB,Microsoft Windows 7 Professional ,BV
CITRIXPRODRM19,10.2.0.133,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 1 socket x 4 core x 4 logical proc,4GB,C: 70GB,Microsoft Windows 7 Professional ,BV
CITRIXPRODRM20,10.2.0.134,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 1 socket x 4 core x 4 logical proc,4GB,C: 70GB,Microsoft Windows 7 Professional ,BV
CITRIXPRODRM21,10.2.0.135,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 1 socket x 4 core x 4 logical proc,4GB,C: 70GB,Microsoft Windows 7 Professional ,BV
CITRIXPRODRM18,10.2.0.136,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 1 socket x 2 core x 2 logical proc,4GB,C: 50GB,Microsoft Windows 7 Professional ,BV
CITRIXPRODRM22,10.2.0.137,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 1 socket x 4 core x 4 logical proc,4GB,C: 70GB,Microsoft Windows 7 Professional ,BV
SRV15784,10.2.0.138,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 1 socket x 4 core x 4 logical proc,4GB,C: 50 GB D: 20 GB,Microsoft Windows Server 2012 R2 Standard,BV
