User,Criadoem,LastLogon,Expiraem,DataDesligamento,UsuarioTipo,DN
brqadmusr,20031008,20150831,NUNCA,NENHUM,SISTEMAS,"CN=brqadmin,CN=Users,DC=BRQ,DC=COM"
moeibus,20050913,20121003,NUNCA,NENHUM,SEMTIPO,"CN=moebius,OU=LIMPEZA,DC=BRQ,DC=COM"
krbtgt,20031008,NUNCA,NUNCA,NENHUM,SISTEMAS,"CN=krbtgt,CN=Users,DC=BRQ,DC=COM"
ale,20031218,20150830,NUNCA,NENHUM,FUNCIONARIO,"CN=ale,OU=VILA,DC=BRQ,DC=COM"
edsonlucindo,20060607,20150906,NUNCA,NENHUM,FUNCIONARIO,"CN=edsonlucindo,OU=VILA,DC=BRQ,DC=COM"
nsantos,20050621,20150903,NUNCA,NENHUM,FUNCIONARIO,"CN=nsantos,OU=Users,OU=DC,OU=INFRA,OU=VARGAS,DC=BRQ,DC=COM"
adsoncosta,20070427,20150831,NUNCA,NENHUM,FUNCIONARIO,"CN=adsoncosta,OU=FOR,DC=BRQ,DC=COM"
SQLService,20080724,20150903,NUNCA,NENHUM,SISTEMAS,"CN=SQLService,OU=Sistemas,DC=BRQ,DC=COM"
fportela,20081003,20150903,NUNCA,NENHUM,FUNCIONARIO,"CN=fportela,OU=MAL,DC=BRQ,DC=COM"
dfarias,20080111,20150827,NUNCA,20150901,DESLIGADO,"CN=dfarias,OU=DESLIGADOS,DC=BRQ,DC=COM"
siusr,20120116,20150904,NUNCA,NENHUM,SISTEMAS,"CN=siusr,OU=Sistemas,DC=BRQ,DC=COM"
brqguestusr,20031008,NUNCA,NUNCA,NENHUM,SISTEMAS,"CN=Guest,CN=Users,DC=BRQ,DC=COM"
IUSR_SPSERVER17,20040408,20110401,NUNCA,NENHUM,SEMTIPO,"CN=IUSR_SPSERVER17,OU=LIMPEZA,DC=BRQ,DC=COM"
IUSR_RJSERVER2,20050826,20150823,NUNCA,NENHUM,SEMTIPO,"CN=IUSR_RJSERVER2,OU=LIMPEZA,DC=BRQ,DC=COM"
IUSR_FORSERVER1,20090706,20140628,NUNCA,NENHUM,SEMTIPO,"CN=IUSR_FORSERVER1,OU=LIMPEZA,DC=BRQ,DC=COM"
IUSR_TEMPLATEW2K3,20091107,20150826,NUNCA,NENHUM,SEMTIPO,"CN=IUSR_TEMPLATEW2K3,OU=LIMPEZA,DC=BRQ,DC=COM"
IUSR_MALSERVER2,20100202,20130119,NUNCA,NENHUM,SEMTIPO,"CN=IUSR_MALSERVER2,OU=LIMPEZA,DC=BRQ,DC=COM"
IUSR_ALPHASERVER1,20100425,20150818,NUNCA,NENHUM,SEMTIPO,"CN=IUSR_ALPHASERVER1,OU=LIMPEZA,DC=BRQ,DC=COM"
IUSR_GOLDSERVER1,20100429,20100721,NUNCA,NENHUM,SEMTIPO,"CN=IUSR_GOLDSERVER1,OU=LIMPEZA,DC=BRQ,DC=COM"
IUSR_ALPHASERVER5,20100510,20120813,NUNCA,NENHUM,SEMTIPO,"CN=IUSR_ALPHASERVER5,OU=LIMPEZA,DC=BRQ,DC=COM"
IUSR_KENSRV202,20100716,20140227,NUNCA,NENHUM,SEMTIPO,"CN=IUSR_KENSRV202,OU=LIMPEZA,DC=BRQ,DC=COM"
