Data,Usuario,"IPs_Hosts",site
"2015-07-14",Administrador,"10.2.71.41","Boa Vista"
"2015-07-13",BRQ,"10.2.75.148",Panamerica
"2015-07-07","Descontração","10.2.89.31",Recife
"2015-07-10","Descontração","10.2.89.31",Recife
"2015-07-13","Descontração","10.2.89.31",Recife
"2015-07-14","Descontração","10.2.89.31",Recife
"2015-07-15","Descontração","10.2.89.31",Recife
"2015-07-29","Descontração","10.2.89.31",Recife
"2015-07-01",ROVIEIRA,"10.2.70.34","Boa Vista"
"2015-07-02",ROVIEIRA,"10.2.70.34","Boa Vista"
"2015-07-03",ROVIEIRA,"10.2.70.34","Boa Vista"
"2015-07-04",ROVIEIRA,"10.2.70.34","Boa Vista"
"2015-07-05",ROVIEIRA,"10.2.70.34","Boa Vista"
"2015-07-06",ROVIEIRA,"10.2.70.34","Boa Vista"
"2015-07-07",ROVIEIRA,"10.2.70.34","Boa Vista"
"2015-07-08",ROVIEIRA,"10.2.70.34","Boa Vista"
"2015-07-09",ROVIEIRA,"10.2.70.34","Boa Vista"
"2015-07-10",ROVIEIRA,"10.2.70.34","Boa Vista"
"2015-07-11",ROVIEIRA,"10.2.70.34","Boa Vista"
"2015-07-12",ROVIEIRA,"10.2.70.34","Boa Vista"
"2015-07-13",ROVIEIRA,"10.2.70.34","Boa Vista"
"2015-07-14",ROVIEIRA,"10.2.70.34","Boa Vista"
"2015-07-15",ROVIEIRA,"10.2.70.34","Boa Vista"
"2015-07-16",ROVIEIRA,"10.2.70.34","Boa Vista"
"2015-07-17",ROVIEIRA,"10.2.70.34","Boa Vista"
"2015-07-18",ROVIEIRA,"10.2.70.34","Boa Vista"
"2015-07-19",ROVIEIRA,"10.2.70.34","Boa Vista"
"2015-07-20",ROVIEIRA,"10.2.70.34","Boa Vista"
"2015-07-21",ROVIEIRA,"10.2.70.34","Boa Vista"
"2015-07-22",ROVIEIRA,"10.2.70.34","Boa Vista"
"2015-07-23",ROVIEIRA,"10.2.70.34","Boa Vista"
"2015-07-24",ROVIEIRA,"10.2.70.34","Boa Vista"
"2015-07-25",ROVIEIRA,"10.2.70.34","Boa Vista"
"2015-07-26",ROVIEIRA,"10.2.70.34","Boa Vista"
"2015-07-27",ROVIEIRA,"10.2.70.34","Boa Vista"
"2015-07-28",ROVIEIRA,"10.2.70.34","Boa Vista"
"2015-07-29",ROVIEIRA,"10.2.70.34","Boa Vista"
"2015-07-30",ROVIEIRA,"10.2.70.34","Boa Vista"
"2015-07-31",ROVIEIRA,"10.2.70.34","Boa Vista"
"2015-07-01",SITFS,"10.2.66.166","Boa Vista"
"2015-07-02",SITFS,"10.2.70.153","Boa Vista"
"2015-07-03",SITFS,"10.2.68.29","Boa Vista"
"2015-07-06",SITFS,"10.2.70.207","Boa Vista"
"2015-07-07",SITFS,"10.2.66.166","Boa Vista"
"2015-07-08",SITFS,"10.2.70.153","Boa Vista"
"2015-07-14",SITFS,"10.2.68.29","Boa Vista"
"2015-07-15",SITFS,"10.2.70.207","Boa Vista"
"2015-07-16",SITFS,"10.2.66.166","Boa Vista"
"2015-07-20",SITFS,"10.2.68.29","Boa Vista"
"2015-07-22",SITFS,"10.2.70.207","Boa Vista"
"2015-07-27",SITFS,"10.2.70.207","Boa Vista"
"2015-07-28",SITFS,"10.2.70.207","Boa Vista"
"2015-07-29",SITFS,"10.2.70.210","Boa Vista"
"2015-07-27","TEMP7-X64","10.2.70.166","Boa Vista"
"2015-07-24",TESTE,"10.2.71.84","Boa Vista"
"2015-07-08",VMBOTICARIO01,"10.2.8.116",Marechal
"2015-07-17",VMBOTICARIO01,"10.2.8.116",Marechal
"2015-07-20","a.nascimento","10.2.68.94","Boa Vista"
"2015-07-21","a.nascimento","10.2.68.94","Boa Vista"
"2015-07-22","a.nascimento","10.2.68.94","Boa Vista"
"2015-07-23","a.nascimento","10.2.68.94","Boa Vista"
"2015-07-24","a.nascimento","10.2.68.94","Boa Vista"
"2015-07-25","a.nascimento","10.2.68.94","Boa Vista"
"2015-07-26","a.nascimento","10.2.68.94","Boa Vista"
"2015-07-27","a.nascimento","10.2.68.94","Boa Vista"
"2015-07-28","a.nascimento","10.2.68.94","Boa Vista"
"2015-07-29","a.nascimento","10.2.68.94","Boa Vista"
"2015-07-30","a.nascimento","10.2.68.94","Boa Vista"
"2015-07-01","a.souza","10.2.66.153","Boa Vista"
"2015-07-02","a.souza","10.2.66.153","Boa Vista"
"2015-07-03","a.souza","10.2.66.153","Boa Vista"
"2015-07-06","a.souza","10.2.66.153","Boa Vista"
"2015-07-07","a.souza","10.2.66.153","Boa Vista"
"2015-07-08","a.souza","10.2.66.153","Boa Vista"
"2015-07-10","a.souza","10.2.66.153","Boa Vista"
"2015-07-13","a.souza","10.2.66.153","Boa Vista"
"2015-07-14","a.souza","10.2.66.153","Boa Vista"
"2015-07-15","a.souza","10.2.66.153","Boa Vista"
"2015-07-16","a.souza","10.2.66.153","Boa Vista"
"2015-07-17","a.souza","10.2.66.153","Boa Vista"
"2015-07-20","a.souza","10.2.66.153","Boa Vista"
"2015-07-21","a.souza","10.2.66.153","Boa Vista"
"2015-07-22","a.souza","10.2.66.153","Boa Vista"
"2015-07-23","a.souza","10.2.66.153","Boa Vista"
"2015-07-24","a.souza","10.2.66.153","Boa Vista"
"2015-07-27","a.souza","10.2.66.153","Boa Vista"
"2015-07-28","a.souza","10.2.66.153","Boa Vista"
"2015-07-29","a.souza","10.2.66.153","Boa Vista"
"2015-07-30","a.souza","10.2.66.153","Boa Vista"
"2015-07-31","a.souza","10.2.66.153","Boa Vista"
