User,Grupos
brqadmusr,sametimeteste;SophosAdministrator;SQUID-LIBERADOS;Automatos USB Allowed;VILAGRUPO56;Tivoli_Admin_Privileges;UserGroup {3c8aaa29-1b6b-4525-9038-17988c7208db};Backup Operators;Schema Admins;Enterprise Admins;Administrators;Domain Admins;Group Policy Creator Owners
moeibus,sametimeteste;naoremovevisualstudio;Automatos USB Allowed;Wireless
krbtgt,Denied RODC Password Replication Group
ale,OFFICE365;VILAGRUPOCITRIX18;SQUID-LIBERADOS-20150504;VARGASGRUPO79;sametimeteste;ITAU-USB-LIBERADOS;NaoRemoveMSOfficeProPlus;SQUID-LIBERA_IP;RemoveVisio;RemoveProject;NaoRemoveMSOffice;VILAGRUPOCITRIX15;VILAGRUPOCITRIX14;VILAGRUPOCITRIX13;VILAGRUPOCITRIX10;VARGASGRUPO75;VILAGRUPOCITRIX11;VILAGRUPOCITRIX6;VILAGRUPOCITRIX3;VILAGRUPOCITRIX7;VILAGRUPOCITRIX9;VILAGRUPOCITRIX12;VILAGRUPOCITRIX4.1;VILAGRUPOCITRIX4;VILAGRUPOCITRIX1;VPNCWBFULL;RICOH_COLOR;VPNCITRIX;SI-STD;SQUID-LIBERADOS;VILAGRUPOCITRIX8;rfp.telecom;VILAGRUPOCITRIX2;USB-ALLOW;Automatos USB Allowed;EstaoNoSI;Wireless;pcn-santander;infraestrutura;VILA;VPNRJFULL;VILAGRUPOCITRIX;VPNSPFULL;VILAGRUPOCITRIX5;DC;naoremoveadministradorlocal;mp-recursos-projeto;VILAGRUPO70;gmud_archive;infrasp;PCNITAU;ADM_ACESSO;infrabrq;gmud;SUPORTERIO;Auto SRC;testemailin;revisaoinfra;LocalDomainAdmins;Administradores;inframicrosoft;infraadmincps;Gestores BRQ;avisatorpedo;comunicadosbrq;SUBV-VILA-12-1;permitessh;Domain Guests;Domain Computers
edsonlucindo,OFFICE365;VILAGRUPOCITRIX18;VILAGRUPOCITRIX17;SQUID-LIBERADOS-20150504;Migradosate20120125;VILAGRUPO78;Auto Admin SRC;VILAGRUPOSERV12-21-Read;sametimeteste;ITAU-USB-LIBERADOS;VILAGRUPOCITRIX16;RemoveVisio;RemoveProject;Remove MSOffice;VILAGRUPOCITRIX15;VILAGRUPOCITRIX14;VILAGRUPOCITRIX13;VILAGRUPOCITRIX10;VARGASGRUPO75;VILAGRUPOCITRIX11;VILAGRUPO854;VILAGRUPOCITRIX6;VILAGRUPOCITRIX3;VILAGRUPOCITRIX7;VILAGRUPOCITRIX9;VILAGRUPOCITRIX12;VILAGRUPOCITRIX4;VILAGRUPO60;VILAGRUPOCITRIX1;RICOH_COLOR;VPNCITRIX;SI-STD;SQUID-LIBERADOS;RICOH_FV;VILAGRUPOCITRIX2;USB-ALLOW;VILAGRUPO856;Automatos USB Allowed;EstaoNoSI;Wireless;pcn-santander;infraestrutura;VILA;VPNRJFULL;VILAGRUPOCITRIX;VPNSPFULL;VILAGRUPOCITRIX5;DC;naoremoveadministradorlocal;VILAGRUPO52;mp-recursos-projeto;VILAGRUPO70;infrasp;PCNITAU;ADM_ACESSO;infrabrq;Auto SRC;servicedeskadmin;Administradores;infraadmincps;Infraadmin;avisatorpedo;VARGASGRUPO16;VILAGRUPO859;VARGASGRUPO12;Domain Guests;Domain Computers
nsantos,OFFICE365;INTERNETCWBFULL;Fortinet;VILAGRUPOCITRIX18;SQUID-LIBERADOS-20150504;Migradosate20120125;Auto Admin SRC;impressoracwbfull;sametimeteste;SUGARCRMUSERS;RemoveVisio;RemoveProject;Remove MSOffice;VARGASGRUPO72;VARGASGRUPOSW;VILAGRUPOCITRIX11;INTERNETCWBFULLOLD;MALINFRA;VILAGRUPOCITRIX4.1;VILAGRUPOCITRIX4;VARGASGRUPO40;VPNDFCEFINTERNA;SI-STD;SQUID-LIBERADOS;Automatos USB Allowed;EstaoNoSI;Wireless;BVMF8021X;pcn-santander;infrarj;infraestrutura;INTERNETCWBOLD;VARGAS;VPNRJFULL;VILAGRUPOCITRIX5;DC;mp-recursos-projeto;encontrodosamigos;gmud_archive;ga-deployments;TravelerUsers;PCNITAU;Desligados;infrabrq;gmud;SUPORTERIO;Auto SRC;VMWare;storagerj;niver_info;MXSECADM;LocalDomainAdmins;Administradores;Internos;infraadmincps;Infraadmin;projetogoogle;UserGroup {3c8aaa29-1b6b-4525-9038-17988c7208db};permitessh;VARGASRM;cvs-gestorbrad
adsoncosta,OFFICE365;INTERNETCWBFULL;VILAGRUPOCITRIX18;GmailBlockOutLook;Migradosate20120125;VILAGRUPOSERV12-Read;sametimeteste;RemoveVisio;RemoveProject;Remove MSOffice;VARGASGRUPOSW;MALGERAL;VARGASGRUPO75;INTERNETCWBFULLOLD;VILAGRUPOCITRIX12;MALINFRA;VPNFORFULL;RICOH_COLOR;VPNCITRIX;SI-STD;SQUID-LIBERADOS;RICOH_FV;Automatos USB Allowed;EstaoNoSI;Wireless;suportene;infraestrutura;FOR;VPNRJFULL;VILAGRUPOCITRIX;DC;sabius-fortaleza;mp-recursos-projeto;previdenciaprivada;gmud_archive;FORUNIMEDFORTALEZA;telecom;ADM_ACESSO;infrace;gmud;FORINFRA;Auto SRC;servicedeskadmin;liderderegiao;Administradores;Gestores BRQ;permitessh
SQLService,SophosAdministrator;Automatos USB Allowed;VARGASGRUPO435;SQLDBAINFRA;SAPSQL;Administrators;Domain Admins
fportela,OFFICE365;INTERNETCWBFULL;VILAGRUPOCITRIX18;Migradosate20120125;Auto Admin SRC;VILAGRUPO91;INFRA GRUPO 06;DOWNLOADMAL;INFRA GRUPO 02;INFRA GRUPO 04;VARGASGRUPOSW;INFRA GRUPO 03;INFRA GRUPO 05;VILAGRUPOCITRIX10;MALGERAL;VARGASGRUPO43;VARGASGRUPO49;INTERNETCWBFULLOLD;liberascreensaver;MALINFRA;VILAGRUPOCITRIX4.1;VILAGRUPOCITRIX4;SUPORTERIO_2oNivel;VPNFORFULL;VPNCWBFULL;RICOH_COLOR;VPNDFCEFINTERNA;SI-STD;SQUID-LIBERADOS;VILAGRUPOCITRIX2;Automatos USB Allowed;EstaoNoSI;infraestrutura;SUPORTECWB;VILA;INTERNETCWBOLD;VPNRJFULL;VILAGRUPOCITRIX;VPNSPFULL;DC;mp-recursos-projeto;desligamentoinfra;Infracwb;infrabrq;Auto SRC;SUPORTEMAL;servicedeskadmin;Administradores;permitessh;INFRA GRUPO 01;Account Operators;Domain Admins
siusr,Account Operators
