chave,_vencimentocontrato
04196869711,01/01/2016
04198224300,01/01/2016
04198300300,01/01/2016
04198300444,01/01/2016
04198520807,01/01/2016
04198523773,01/01/2016
04198526565,01/01/2016
04198526566,01/01/2016
04198526600,01/01/2016
04198526611,01/01/2016
011941829932,01/01/2016
011953320018,01/01/2016
011953320021,01/01/2016
011970400300,01/01/2016
011970400304,01/01/2016
011970402111,01/01/2016
011970408448,01/01/2016
011970408685,01/01/2016
011981860636,01/01/2016
011983110757,01/01/2016
011983111212,01/01/2016
011983114285,01/01/2016
011983118105,01/01/2016
011983119023,01/01/2016
011983450209,01/01/2016
011986670033,01/01/2016
011986670156,01/01/2016
011986670169,01/01/2016
011986670241,01/01/2016
011987110286,01/01/2016
011991129952,01/01/2016
011994886087,01/01/2016
015998045704,01/01/2016
021967148481,01/01/2016
021967377686,01/01/2016
021967398606,01/01/2016
021971264920,01/01/2016
021971804023,01/01/2016
021972351631,01/01/2016
021972825113,01/01/2016
021980790101,01/01/2016
021980943030,01/01/2016
021980943100,01/01/2016
021980943111,01/01/2016
021980943113,01/01/2016
021980943130,01/01/2016
021980943132,01/01/2016
021980943339,01/01/2016
021980943344,01/01/2016
021980943355,01/01/2016
021980943600,01/01/2016
021980943666,01/01/2016
021980943700,01/01/2016
021980944666,01/01/2016
021980945455,01/01/2016
021980945500,01/01/2016
021982813183,01/01/2016
021982813974,01/01/2016
021995816988,01/01/2016
021996133189,01/01/2016
021996383373,01/01/2016
021997102357,01/01/2016
021998756762,01/01/2016
021998957619,01/01/2016
021999564895,01/01/2016
061982921122,01/01/2016
021980943031,28/01/2018
021982815935,28/01/2018
021982819922,28/01/2018
011970404700,27/01/2018
011970406501,07/12/2017
011970408396,07/12/2017
011970409111,07/12/2017
011981860688,07/12/2017
011983111086,07/12/2017
011983111504,07/12/2017
011983112132,07/12/2017
011983112224,07/12/2017
011983119380,07/12/2017
011983119412,07/12/2017
011983450340,07/12/2017
011983450477,07/12/2017
011986670214,07/12/2017
011987999568,07/12/2017
021982813985,07/12/2017
011953320017,18/10/2017
011970401616,18/10/2017
011970403210,18/10/2017
011970403932,18/10/2017
011970404999,18/10/2017
011970406660,18/10/2017
011970406878,18/10/2017
011970407473,18/10/2017
011970407952,18/10/2017
011970407980,18/10/2017
011983111503,18/10/2017
011983117084,18/10/2017
011983117528,18/10/2017
011983118207,18/10/2017
011983450728,18/10/2017
011986670131,18/10/2017
011986670246,18/10/2017
021980943029,27/08/2017
021980943131,27/08/2017
021980943200,27/08/2017
021980943210,27/08/2017
021980943579,27/08/2017
021980943635,27/08/2017
021980943663,27/08/2017
021982180405,27/08/2017
021982813903,27/08/2017
021982818254,27/08/2017
011943263556,04/12/2016
011943283962,04/12/2016
011943230998,19/11/2016
011943242609,19/11/2016
011943243479,19/11/2016
011943243842,19/11/2016
011943250082,19/11/2016
011943265538,19/11/2016
021996152969,14/10/2016
061996963259,07/10/2016
04196507888,01/01/2016
