chave,descricao,statusci_id,_fabricante,_Tipolicenca,Owner,tipoci_id
Project0151,Licenca Project NR (Licenca),8,Microsoft,NR,BRQ,13
Project0152,Licenca Project NR (Licenca),8,Microsoft,NR,BRQ,13
Project0153,Licenca Project NR (Licenca),8,Microsoft,NR,BRQ,13
Project0154,Licenca Project NR (Licenca),8,Microsoft,NR,BRQ,13
Project0155,Licenca Project NR (Licenca),8,Microsoft,NR,BRQ,13
Project0156,Licenca Project NR (Licenca),8,Microsoft,NR,BRQ,13
Project0157,Licenca Project NR (Licenca),8,Microsoft,NR,BRQ,13
Project0158,Licenca Project NR (Licenca),8,Microsoft,NR,BRQ,13
Project0159,Licenca Project NR (Licenca),8,Microsoft,NR,BRQ,13
Project0160,Licenca Project NR (Licenca),8,Microsoft,NR,BRQ,13
Project0161,Licenca Project NR (Licenca),8,Microsoft,NR,BRQ,13
Project0162,Licenca Project NR (Licenca),8,Microsoft,NR,BRQ,13
Project0163,Licenca Project NR (Licenca),8,Microsoft,NR,BRQ,13
Project0164,Licenca Project NR (Licenca),8,Microsoft,NR,BRQ,13
Project0165,Licenca Project NR (Licenca),8,Microsoft,NR,BRQ,13
Project0166,Licenca Project NR (Licenca),8,Microsoft,NR,BRQ,13
Project0167,Licenca Project NR (Licenca),8,Microsoft,NR,BRQ,13
Project0168,Licenca Project NR (Licenca),8,Microsoft,NR,BRQ,13
Project0169,Licenca Project NR (Licenca),8,Microsoft,NR,BRQ,13
Project0170,Licenca Project NR (Licenca),8,Microsoft,NR,BRQ,13
Project0171,Licenca Project NR (Licenca),8,Microsoft,NR,BRQ,13
Project0172,Licenca Project NR (Licenca),8,Microsoft,NR,BRQ,13
Project0173,Licenca Project NR (Licenca),8,Microsoft,NR,BRQ,13
Project0174,Licenca Project NR (Licenca),8,Microsoft,NR,BRQ,13
Project0175,Licenca Project NR (Licenca),8,Microsoft,NR,BRQ,13
Project0176,Licenca Project NR (Licenca),8,Microsoft,NR,BRQ,13
Project0177,Licenca Project NR (Licenca),8,Microsoft,NR,BRQ,13
Project0178,Licenca Project NR (Licenca),8,Microsoft,NR,BRQ,13
Project0179,Licenca Project NR (Licenca),8,Microsoft,NR,BRQ,13
Project0180,Licenca Project NR (Licenca),8,Microsoft,NR,BRQ,13
Project0181,Licenca Project NR (Licenca),8,Microsoft,NR,BRQ,13
Project0182,Licenca Project NR (Licenca),8,Microsoft,NR,BRQ,13
Project0183,Licenca Project NR (Licenca),8,Microsoft,NR,BRQ,13
Project0184,Licenca Project NR (Licenca),8,Microsoft,NR,BRQ,13
Project0185,Licenca Project NR (Licenca),8,Microsoft,NR,BRQ,13
Project0186,Licenca Project NR (Licenca),8,Microsoft,NR,BRQ,13
Project0187,Licenca Project NR (Licenca),8,Microsoft,NR,BRQ,13
Project0188,Licenca Project NR (Licenca),8,Microsoft,NR,BRQ,13
Project0189,Licenca Project NR (Licenca),8,Microsoft,NR,BRQ,13
Project0190,Licenca Project NR (Licenca),8,Microsoft,NR,BRQ,13
Project0191,Licenca Project NR (Licenca),8,Microsoft,NR,BRQ,13
Project0192,Licenca Project NR (Licenca),8,Microsoft,NR,BRQ,13
Project0193,Licenca Project NR (Licenca),8,Microsoft,NR,BRQ,13
Project0194,Licenca Project NR (Licenca),8,Microsoft,NR,BRQ,13
Project0195,Licenca Project NR (Licenca),8,Microsoft,NR,BRQ,13
Project0196,Licenca Project NR (Licenca),8,Microsoft,NR,BRQ,13
Project0197,Licenca Project NR (Licenca),8,Microsoft,NR,BRQ,13
Project0198,Licenca Project NR (Licenca),8,Microsoft,NR,BRQ,13
Project0199,Licenca Project NR (Licenca),8,Microsoft,NR,BRQ,13
Project0200,Licenca Project NR (Licenca),8,Microsoft,NR,BRQ,13
